assembly_index,nonlinearity_strength,measurement_noise_mm,method,final_quality
117,0.0,0.0,LOCKED_HYBRID,0.2302945092572647
118,0.0,0.0,ZERO,3.7962305550130218
118,0.0,0.0,LSQ,0.13886997847794616
118,0.0,0.0,LOCKED_HYBRID,0.12554075630336517
119,0.0,0.0,ZERO,1.4839945944996373
119,0.0,0.0,LSQ,0.5236238216406569
119,0.0,0.0,LOCKED_HYBRID,0.4747328017192598
120,0.0,0.0,ZERO,1.3022767547174527
120,0.0,0.0,LSQ,0.44233969366891
120,0.0,0.0,LOCKED_HYBRID,0.3575813634408524
121,0.0,0.0,ZERO,0.6992459321098975
121,0.0,0.0,LSQ,0.5139068190551122
121,0.0,0.0,LOCKED_HYBRID,0.4173343419534893
122,0.0,0.0,ZERO,3.338435181868111
122,0.0,0.0,LSQ,0.31124136708814987
122,0.0,0.0,LOCKED_HYBRID,0.315657955396244
123,0.0,0.0,ZERO,2.1951351149333265
123,0.0,0.0,LSQ,0.13622072681384567
123,0.0,0.0,LOCKED_HYBRID,0.1511213286704539
124,0.0,0.0,ZERO,1.9806380592027655
124,0.0,0.0,LSQ,0.2589732109519708
124,0.0,0.0,LOCKED_HYBRID,0.3042195910358315
125,0.0,0.0,ZERO,1.4773075793599928
125,0.0,0.0,LSQ,0.38006415053946857
125,0.0,0.0,LOCKED_HYBRID,0.3235523297420674
126,0.0,0.0,ZERO,1.9924524681891107
126,0.0,0.0,LSQ,0.1299717122129799
126,0.0,0.0,LOCKED_HYBRID,0.10635209206146554
127,0.0,0.0,ZERO,1.6409104327105946
127,0.0,0.0,LSQ,0.9255878669566119
127,0.0,0.0,LOCKED_HYBRID,0.8038174473077483
128,0.0,0.0,ZERO,2.9917774111759052
128,0.0,0.0,LSQ,0.15938240730692327
128,0.0,0.0,LOCKED_HYBRID,0.18060254641905338
129,0.0,0.0,ZERO,2.0361090707793315
129,0.0,0.0,LSQ,0.6041988307283436
129,0.0,0.0,LOCKED_HYBRID,0.5125026382133288
130,0.0,0.0,ZERO,1.7917735576733107
130,0.0,0.0,LSQ,0.15108109646726692
130,0.0,0.0,LOCKED_HYBRID,0.16189919866846297
131,0.0,0.0,ZERO,2.9215622465922575
131,0.0,0.0,LSQ,0.6269510563838196
131,0.0,0.0,LOCKED_HYBRID,0.6111747745022602
132,0.0,0.0,ZERO,0.6976364417067229
132,0.0,0.0,LSQ,0.23872297603127085
132,0.0,0.0,LOCKED_HYBRID,0.23483874776603644
133,0.0,0.0,ZERO,1.9308008647151094
133,0.0,0.0,LSQ,0.3887270234816035
133,0.0,0.0,LOCKED_HYBRID,0.3274585851427009
134,0.0,0.0,ZERO,2.0444238503297676
134,0.0,0.0,LSQ,0.26457999841421503
134,0.0,0.0,LOCKED_HYBRID,0.28623833321481096
135,0.0,0.0,ZERO,0.4281280425956212
135,0.0,0.0,LSQ,0.2922699353717834
135,0.0,0.0,LOCKED_HYBRID,0.27756015145420787
136,0.0,0.0,ZERO,0.5779464705870386
136,0.0,0.0,LSQ,0.18587079439573964
136,0.0,0.0,LOCKED_HYBRID,0.1984778391154794
137,0.0,0.0,ZERO,0.9816507000840072
137,0.0,0.0,LSQ,0.6098443088743037
137,0.0,0.0,LOCKED_HYBRID,0.5198631039822097
138,0.0,0.0,ZERO,2.151413649262188
138,0.0,0.0,LSQ,0.276347273896122
138,0.0,0.0,LOCKED_HYBRID,0.24361858039963832
139,0.0,0.0,ZERO,2.480628241591852
139,0.0,0.0,LSQ,0.24226272625590073
139,0.0,0.0,LOCKED_HYBRID,0.22774418424834847
