rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,high_regret_capture_percent,exact_miss_capture_percent,high_regret_precision_percent,exact_miss_precision_percent,triggered_mean_regret,nontriggered_mean_regret
margin_or_tree_std_or_utilization,0.006742544927672853,0.06787304727593714,0.2512163072405328,216,43.2,43.2,69.6969696969697,100.0,10.648148148148149,0.00406376852217397,0.0010037309415417651
margin_or_tree_std_or_utilization,0.006742544927672853,0.06787304727593714,0.28296048044527133,157,31.4,31.4,60.60606060606061,100.0,12.738853503184714,0.005176499595968709,0.0010207672058902368
margin_or_tree_std_or_utilization,0.006742544927672853,0.07606277016589152,0.2512163072405328,201,40.2,40.2,69.6969696969697,100.0,11.442786069651742,0.004367034829798892,0.0009533765464811415
margin_or_tree_std_or_utilization,0.006742544927672853,0.07606277016589152,0.2512163072405328,201,40.2,40.2,69.6969696969697,100.0,11.442786069651742,0.004367034829798892,0.0009533765464811415
margin_or_tree_std_or_utilization,0.006742544927672853,0.07606277016589152,0.2512163072405328,201,40.2,40.2,69.6969696969697,100.0,11.442786069651742,0.004367034829798892,0.0009533765464811415
margin_or_tree_std_or_utilization,0.006742544927672853,0.07606277016589152,0.28296048044527133,136,27.200000000000003,27.200000000000003,60.60606060606061,100.0,14.705882352941178,0.005975812033581525,0.0009618767901658
margin_or_tree_std_or_utilization,0.006742544927672853,0.09103730722544372,0.2512163072405328,184,36.8,36.8,63.63636363636363,100.0,11.41304347826087,0.004050224475846541,0.0013214945716192245
margin_or_tree_std_or_utilization,0.006742544927672853,0.09103730722544372,0.2512163072405328,184,36.8,36.8,63.63636363636363,100.0,11.41304347826087,0.004050224475846541,0.0013214945716192245
margin_or_tree_std_or_utilization,0.006742544927672853,0.09103730722544372,0.2512163072405328,184,36.8,36.8,63.63636363636363,100.0,11.41304347826087,0.004050224475846541,0.0013214945716192245
margin_or_tree_std_or_utilization,0.006742544927672853,0.09103730722544372,0.28296048044527133,117,23.400000000000002,23.400000000000002,54.54545454545454,100.0,15.384615384615385,0.005813484951566443,0.0012601980387837203
margin_or_tree_std_or_utilization,0.018084364881560053,0.06787304727593714,0.2512163072405328,233,46.6,46.6,81.81818181818183,100.0,11.587982832618025,0.004548251364095346,0.00038610869046150863
margin_or_tree_std_or_utilization,0.018084364881560053,0.06787304727593714,0.2512163072405328,233,46.6,46.6,81.81818181818183,100.0,11.587982832618025,0.004548251364095346,0.00038610869046150863
margin_or_tree_std_or_utilization,0.018084364881560053,0.06787304727593714,0.2512163072405328,233,46.6,46.6,81.81818181818183,100.0,11.587982832618025,0.004548251364095346,0.00038610869046150863
margin_or_tree_std_or_utilization,0.018084364881560053,0.06787304727593714,0.28296048044527133,178,35.6,35.6,75.75757575757575,100.0,14.04494382022472,0.005725735531551219,0.00044612628438298605
margin_or_tree_std_or_utilization,0.018084364881560053,0.07606277016589152,0.2512163072405328,218,43.6,43.6,81.81818181818183,100.0,12.385321100917432,0.0048612044396064945,0.00036557099416036456
margin_or_tree_std_or_utilization,0.018084364881560053,0.07606277016589152,0.2512163072405328,218,43.6,43.6,81.81818181818183,100.0,12.385321100917432,0.0048612044396064945,0.00036557099416036456
margin_or_tree_std_or_utilization,0.018084364881560053,0.07606277016589152,0.2512163072405328,218,43.6,43.6,81.81818181818183,100.0,12.385321100917432,0.0048612044396064945,0.00036557099416036456
margin_or_tree_std_or_utilization,0.018084364881560053,0.07606277016589152,0.28296048044527133,158,31.6,31.6,75.75757575757575,100.0,15.822784810126583,0.006450512181114664,0.0004200370279863202
margin_or_tree_std_or_utilization,0.018084364881560053,0.09103730722544372,0.2512163072405328,202,40.400000000000006,40.400000000000006,78.78787878787878,100.0,12.871287128712872,0.004903595216729643,0.0005782125986847343
margin_or_tree_std_or_utilization,0.018084364881560053,0.09103730722544372,0.2512163072405328,202,40.400000000000006,40.400000000000006,78.78787878787878,100.0,12.871287128712872,0.004903595216729643,0.0005782125986847343
margin_or_tree_std_or_utilization,0.018084364881560053,0.09103730722544372,0.2512163072405328,202,40.400000000000006,40.400000000000006,78.78787878787878,100.0,12.871287128712872,0.004903595216729643,0.0005782125986847343
margin_or_tree_std_or_utilization,0.018084364881560053,0.09103730722544372,0.28296048044527133,140,28.000000000000004,28.000000000000004,72.72727272727273,100.0,17.142857142857142,0.006785461361152064,0.0005913027711837487
margin_or_tree_std_or_utilization,0.02800373921277931,0.06787304727593714,0.2512163072405328,249,49.8,49.8,87.87878787878788,100.0,11.646586345381527,0.00438125799992913,0.00028645556257006054
margin_or_tree_std_or_utilization,0.02800373921277931,0.06787304727593714,0.2512163072405328,249,49.8,49.8,87.87878787878788,100.0,11.646586345381527,0.00438125799992913,0.00028645556257006054
margin_or_tree_std_or_utilization,0.02800373921277931,0.06787304727593714,0.2512163072405328,249,49.8,49.8,87.87878787878788,100.0,11.646586345381527,0.00438125799992913,0.00028645556257006054
margin_or_tree_std_or_utilization,0.02800373921277931,0.06787304727593714,0.28296048044527133,195,39.0,39.0,81.81818181818183,100.0,13.846153846153847,0.005386521019303871,0.00036872783417437347
margin_or_tree_std_or_utilization,0.02800373921277931,0.07606277016589152,0.2512163072405328,235,47.0,47.0,87.87878787878788,100.0,12.340425531914894,0.004642269114818525,0.00027132206115126493
margin_or_tree_std_or_utilization,0.02800373921277931,0.07606277016589152,0.2512163072405328,235,47.0,47.0,87.87878787878788,100.0,12.340425531914894,0.004642269114818525,0.00027132206115126493
margin_or_tree_std_or_utilization,0.02800373921277931,0.07606277016589152,0.2512163072405328,235,47.0,47.0,87.87878787878788,100.0,12.340425531914894,0.004642269114818525,0.00027132206115126493
