rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,regret_capture_percent,positive_regret_capture_percent,exact_miss_capture_percent,positive_regret_precision_percent,exact_miss_precision_percent,positive_regret_lift,exact_miss_lift,triggered_mean_regret,nontriggered_mean_regret,regret_concentration
margin_or_tree_std_or_utilization,0.018084364881559973,0.07606277016589147,0.2829604804452713,158,31.6,87.64632660850127,75.75757575757575,75.75757575757575,15.822784810126583,15.822784810126583,2.397391637897967,2.397391637897967,0.006450512181114664,0.0004200370279863202,2.7736179306487743
margin_or_tree_std_or_utilization,0.018084364881559973,0.09103730722544369,0.2512163072405328,202,40.400000000000006,85.18211409109415,78.78787878787878,78.78787878787878,12.871287128712872,12.871287128712872,1.9501950195019502,1.9501950195019502,0.004903595216729643,0.0005782125986847343,2.1084681705716375
margin_or_tree_std_or_utilization,0.018084364881559973,0.09103730722544369,0.2512163072405328,202,40.400000000000006,85.18211409109415,78.78787878787878,78.78787878787878,12.871287128712872,12.871287128712872,1.9501950195019502,1.9501950195019502,0.004903595216729643,0.0005782125986847343,2.1084681705716375
margin_or_tree_std_or_utilization,0.018084364881559973,0.09103730722544369,0.2512163072405328,202,40.400000000000006,85.18211409109415,78.78787878787878,78.78787878787878,12.871287128712872,12.871287128712872,1.9501950195019502,1.9501950195019502,0.004903595216729643,0.0005782125986847343,2.1084681705716375
margin_or_tree_std_or_utilization,0.018084364881559973,0.09103730722544369,0.2829604804452713,140,28.000000000000004,81.69394143852018,72.72727272727273,72.72727272727273,17.142857142857142,17.142857142857142,2.597402597402597,2.597402597402597,0.006785461361152064,0.0005913027711837487,2.917640765661435
margin_or_tree_std_or_utilization,0.02800373921277925,0.06787304727593713,0.2512163072405328,249,49.8,93.81679829895872,87.87878787878788,87.87878787878788,11.646586345381527,11.646586345381527,1.7646342947547766,1.7646342947547766,0.00438125799992913,0.00028645556257006054,1.8838714517863198
margin_or_tree_std_or_utilization,0.02800373921277925,0.06787304727593713,0.2512163072405328,249,49.8,93.81679829895872,87.87878787878788,87.87878787878788,11.646586345381527,11.646586345381527,1.7646342947547766,1.7646342947547766,0.00438125799992913,0.00028645556257006054,1.8838714517863198
margin_or_tree_std_or_utilization,0.02800373921277925,0.06787304727593713,0.2512163072405328,249,49.8,93.81679829895872,87.87878787878788,87.87878787878788,11.646586345381527,11.646586345381527,1.7646342947547766,1.7646342947547766,0.00438125799992913,0.00028645556257006054,1.8838714517863198
margin_or_tree_std_or_utilization,0.02800373921277925,0.06787304727593713,0.2829604804452713,195,39.0,90.32862564638476,81.81818181818183,81.81818181818183,13.846153846153847,13.846153846153847,2.097902097902098,2.097902097902098,0.005386521019303871,0.00036872783417437347,2.3161186063175583
margin_or_tree_std_or_utilization,0.02800373921277925,0.07606277016589147,0.2512163072405328,235,47.0,93.81679829895872,87.87878787878788,87.87878787878788,12.340425531914894,12.340425531914894,1.8697614442295292,1.8697614442295292,0.004642269114818525,0.00027132206115126493,1.996102091467207
margin_or_tree_std_or_utilization,0.02800373921277925,0.07606277016589147,0.2512163072405328,235,47.0,93.81679829895872,87.87878787878788,87.87878787878788,12.340425531914894,12.340425531914894,1.8697614442295292,1.8697614442295292,0.004642269114818525,0.00027132206115126493,1.996102091467207
margin_or_tree_std_or_utilization,0.02800373921277925,0.07606277016589147,0.2512163072405328,235,47.0,93.81679829895872,87.87878787878788,87.87878787878788,12.340425531914894,12.340425531914894,1.8697614442295292,1.8697614442295292,0.004642269114818525,0.00027132206115126493,1.996102091467207
margin_or_tree_std_or_utilization,0.02800373921277925,0.07606277016589147,0.2829604804452713,178,35.6,90.32862564638476,81.81818181818183,81.81818181818183,15.168539325842698,15.168539325842698,2.29826353421859,2.29826353421859,0.005900964038001432,0.00034926083671796244,2.537320945123168
