model,assembly_id,component_index,trajectory_type,n_candidates,true_best_quality,true_best_source,predicted_best_predicted_quality,predicted_best_actual_quality,predicted_best_source,true_rank_of_predicted_best,exact_best_hit,top3_hit,top5_hit,absolute_regret,relative_regret_percent,zero_actual_quality,selected_beats_zero,true_best_beats_zero,selected_improvement_vs_zero_percent,rank_correlation,candidate_quality_range,best_to_second_quality_gap
scalar_rf,216,2,heuristic,21,0.0163508416392404,informed,0.0302607512237222,0.0163508416392404,informed,1,True,True,True,0.0,0.0,0.2930762107423071,True,True,94.42095910895438,0.9948051948051948,11.482976669842088,0.2503194284558464
scalar_rf,216,2,partial,21,0.0524371030504342,informed,0.1046521183194005,0.0524371030504342,informed,1,True,True,True,0.0,0.0,0.3721377889405842,True,True,85.90922378516997,0.996103896103896,10.966593233707568,0.1522227279989476
scalar_rf,216,2,random_feasible,21,1.2479194879386666,local_informed,1.347965768250116,1.2479194879386666,local_informed,1,True,True,True,0.0,0.0,4.631760222333432,True,True,73.0573382896324,0.9935064935064933,14.039952177845732,0.22077914840830992
scalar_rf,216,3,zero,21,0.2285877833129846,informed,0.2397224374114598,0.2285877833129846,informed,1,True,True,True,0.0,0.0,0.6030102635217156,True,True,62.092223442768535,0.996103896103896,10.763106056935069,0.11036195585414679
scalar_rf,216,3,heuristic,21,0.0085929717645156,informed,0.0368652105710902,0.0085929717645156,informed,1,True,True,True,0.0,0.0,0.1513540275076846,True,True,94.32260118477566,0.9987012987012988,11.408605689717207,0.142761055743169
scalar_rf,216,3,partial,21,0.1000607196803678,informed,0.1188329066722321,0.1000607196803678,informed,1,True,True,True,0.0,0.0,0.3535827192871595,True,True,71.70090215887947,0.9974025974025975,11.02771629726152,0.0347843679800401
scalar_rf,216,3,random_feasible,21,1.0360068364866148,local_informed,1.347540929371331,1.0871343853539328,local_informed,2,False,True,True,0.05112754886731796,4.93505902342359,3.953151910703678,True,True,72.49955453494277,0.9896103896103896,13.769058491356084,0.05112754886731796
scalar_rf,216,4,zero,21,0.3123981864554022,informed,0.3431271540828901,0.3123981864554022,informed,1,True,True,True,0.0,0.0,0.7968819249615725,True,True,60.79743100328612,0.9805194805194805,10.524620430037052,0.4257266115561946
scalar_rf,216,4,heuristic,21,0.0151005305443181,informed,0.0204652426985608,0.0151005305443181,informed,1,True,True,True,0.0,0.0,0.1859445083940482,True,True,91.87901235979635,0.9987012987012988,11.22369084274411,0.10606792260968209
scalar_rf,216,4,partial,21,0.1231494208644289,informed,0.16326609783301,0.1231494208644289,informed,1,True,True,True,0.0,0.0,0.420707661711419,True,True,70.72802991905048,0.9948051948051948,10.984418786918376,0.2252490728927726
scalar_rf,216,4,random_feasible,21,1.4468696305994952,local_informed,1.772770351228155,1.561716208652726,local_informed,2,False,True,True,0.11484657805323084,7.937589926857845,3.809930413661656,True,True,59.00932460465101,0.9597402597402598,9.004477453330527,0.11484657805323084
scalar_rf,216,5,zero,21,0.3089754356187839,local_informed,0.471347681716525,0.3089754356187839,local_informed,1,True,True,True,0.0,0.0,1.2108299364518915,True,True,74.48234253902095,0.9428571428571428,10.663200653423925,0.11605348977600843
scalar_rf,216,5,heuristic,21,0.0417266341071339,informed,0.1044500513067647,0.0417266341071339,informed,1,True,True,True,0.0,0.0,0.4653248655518097,True,True,91.03279510806885,0.996103896103896,11.671170540541237,0.330842788987226
scalar_rf,216,5,partial,21,0.1568882693595352,informed,0.2234294370553917,0.1568882693595352,informed,1,True,True,True,0.0,0.0,0.7102296351138657,True,True,77.91020515014378,0.9597402597402598,11.565865306778734,0.2032335527511645
scalar_rf,216,5,random_feasible,21,2.5303455880525867,local_informed,2.1554511250718176,2.5303455880525867,local_informed,1,True,True,True,0.0,0.0,6.683106664591568,True,True,62.13818340714413,0.9207792207792208,14.59044548423952,0.33584031198258124
scalar_rf,219,1,zero,21,0.009541065563827,informed,0.0073329636392068,0.009541065563827,informed,1,True,True,True,0.0,0.0,0.1528750149587519,True,True,93.75891111676991,0.9987012987012988,11.11462104054575,0.1433339493949249
scalar_rf,219,1,heuristic,21,0.009541065563827,informed,0.0073329636392068,0.009541065563827,informed,1,True,True,True,0.0,0.0,0.1528750149587519,True,True,93.75891111676991,1.0,11.447752430653349,0.1433339493949249
scalar_rf,219,1,partial,21,0.009541065563827,informed,0.0073329636392068,0.009541065563827,informed,1,True,True,True,0.0,0.0,0.1528750149587519,True,True,93.75891111676991,0.9987012987012988,11.574249481626952,0.12297998759049761
scalar_rf,219,1,random_feasible,21,0.009541065563827,informed,0.0073329636392068,0.009541065563827,informed,1,True,True,True,0.0,0.0,0.1528750149587519,True,True,93.75891111676991,0.9987012987012988,11.233599303742201,0.0716853920463802
scalar_rf,219,2,zero,21,0.1314312972662127,informed,0.1974694059805712,0.1608503370657479,zero,2,False,True,True,0.029419039799535196,22.383587784230148,0.1608503370657479,False,True,0.0,0.996103896103896,11.143964601333744,0.029419039799535196
scalar_rf,219,2,heuristic,21,0.0251684309987063,zero,0.0871449802062298,0.0251684309987063,zero,1,True,True,True,0.0,0.0,0.0251684309987063,False,False,0.0,0.9974025974025975,11.299080091151911,0.0469132913536902
scalar_rf,219,2,partial,21,0.0906791836778913,zero,0.1256460251055155,0.0906791836778913,zero,1,True,True,True,0.0,0.0,0.0906791836778913,False,False,0.0,0.9987012987012988,11.277330923120552,0.01072511399204891
scalar_rf,219,2,random_feasible,21,0.9808026411515428,local_informed,1.071515827334385,0.9808026411515428,local_informed,1,True,True,True,0.0,0.0,3.8071287273967713,True,True,74.23773369958538,0.9909090909090909,7.776172751324999,0.4287212063437328
scalar_rf,219,3,zero,21,0.1761885979943192,informed,0.181429623214799,0.1761885979943192,informed,1,True,True,True,0.0,0.0,0.3796867708138524,True,True,53.5963295174436,0.9987012987012988,10.99218694931452,0.20349817281953317
scalar_rf,219,3,heuristic,21,0.1587251009729025,informed,0.1651757319028502,0.1587251009729025,informed,1,True,True,True,0.0,0.0,0.2892800934231238,True,True,45.130997748697936,0.9948051948051948,11.144786718783756,0.1289443617221258
scalar_rf,219,3,partial,21,0.1563373611820672,informed,0.1686099013433184,0.1563373611820672,informed,1,True,True,True,0.0,0.0,0.3122950420097816,True,True,49.93921127407125,0.996103896103896,11.055000797921126,0.15595768082771438
scalar_rf,219,3,random_feasible,21,2.1156995707249253,local_informed,2.006141646517293,2.1156995707249253,local_informed,1,True,True,True,0.0,0.0,4.884167307696263,True,True,56.68249186732207,0.996103896103896,13.492862857406326,0.021209216604044734
scalar_rf,219,4,zero,21,0.2546825391730984,informed,0.2951515916742641,0.2546825391730984,informed,1,True,True,True,0.0,0.0,0.5584030728642869,True,True,54.390913741444265,0.996103896103896,10.805104324100778,0.10995383940059328
scalar_rf,219,4,heuristic,21,0.1846966104607609,informed,0.1883472681499639,0.1846966104607609,informed,1,True,True,True,0.0,0.0,0.3240231414857996,True,True,42.99894457727943,0.996103896103896,10.879061577366727,0.09419864725518207
scalar_rf,219,4,partial,21,0.2025396157792591,informed,0.222547529078663,0.2025396157792591,informed,1,True,True,True,0.0,0.0,0.4003215522019753,True,True,49.40576777213552,0.9948051948051948,11.187054054387696,0.13707356448837948
scalar_rf,219,4,random_feasible,21,0.3337558443054625,local_informed,0.5342118692875535,0.3337558443054625,local_informed,1,True,True,True,0.0,0.0,2.3588262434631626,True,True,85.8507660227041,0.9805194805194805,13.3172033691531,0.5385647938543272
scalar_rf,219,5,zero,21,0.3276129978680233,informed,0.4046611275226693,0.3276129978680233,informed,1,True,True,True,0.0,0.0,0.6996552138771719,True,True,53.175079471995836,0.9766233766233766,10.801793618244627,0.20415130506544826
scalar_rf,219,5,heuristic,21,0.1826307773580864,informed,0.199935247899335,0.1826307773580864,informed,1,True,True,True,0.0,0.0,0.2639081858440235,True,True,30.797607973393493,0.9935064935064933,11.339920152552233,0.08127740848593709
scalar_rf,219,5,partial,21,0.2266624743214264,informed,0.2461768766273632,0.2266624743214264,informed,1,True,True,True,0.0,0.0,0.4088790728104492,True,True,44.56491187884687,0.996103896103896,10.870046837617394,0.18221659848902283
scalar_rf,219,5,random_feasible,21,0.2734169224429056,local_informed,0.7584610224295315,0.7067535681650763,moderate_random,2,False,True,True,0.4333366457221707,158.48932898901282,3.8322848837998302,True,True,81.55790632495182,0.9818181818181818,13.989552883684718,0.4333366457221707
scalar_rf,222,1,zero,21,0.0931378115406865,informed,0.2230255789796145,0.0931378115406865,informed,1,True,True,True,0.0,0.0,0.4398506485983661,True,True,78.8251280662014,0.9883116883116884,10.968169426100198,0.09594988671017869
scalar_rf,222,1,heuristic,21,0.0931378115406865,informed,0.2230255789796145,0.0931378115406865,informed,1,True,True,True,0.0,0.0,0.4398506485983661,True,True,78.8251280662014,0.996103896103896,10.907898452472054,0.3467128370576796
scalar_rf,222,1,partial,21,0.0931378115406865,informed,0.2230255789796145,0.0931378115406865,informed,1,True,True,True,0.0,0.0,0.4398506485983661,True,True,78.8251280662014,0.996103896103896,11.251032343362898,0.26796841484313216
scalar_rf,222,1,random_feasible,21,0.0931378115406865,informed,0.2230255789796145,0.0931378115406865,informed,1,True,True,True,0.0,0.0,0.4398506485983661,True,True,78.8251280662014,0.9558441558441559,10.792064112161274,0.1247735109115962
scalar_rf,222,2,zero,21,0.2451733908480645,informed,0.3380702355046852,0.5203526889318764,local_informed,3,False,True,True,0.27517929808381186,112.23864756772981,0.5106402416146117,False,True,-1.9020136929581735,0.9935064935064933,10.882511904085312,0.26546685076654725
scalar_rf,222,2,heuristic,21,0.0907891080926955,informed,0.0984162897580831,0.0907891080926955,informed,1,True,True,True,0.0,0.0,0.4135258541910643,True,True,78.04511926580832,0.9766233766233766,10.778069438789386,0.1365442894589024
