assembly_id,batch_condition,structured20_final_quality,warmstart_bo_final_quality,bo_quality_benefit,bo_better,structured_better,essential_tie,n_component_decisions,n_bo_refinements,mean_prediction_abs_error,max_prediction_abs_error,mean_regret,max_regret,mean_utilization,max_utilization,bo_refinement_rate_percent,bo_used_at_least_once
833,high_variation,0.0802481516790742,0.0802481516790742,0.0,False,False,True,5,0,0.0034283908425001204,0.0058217033109116,0.0046377738870538995,0.0231888694352695,0.03811669702843068,0.0883919776339113,0.0,False
836,disturbed,0.2274528604620119,0.2710397503204027,-0.043586889858390765,False,True,False,5,1,0.037224749508418066,0.066301425949029,0.08140227126555236,0.223519386133046,0.11139514124324416,0.155317637055724,20.0,True
839,disturbed,0.1457749922685715,0.1457749922685715,0.0,False,False,True,5,0,0.010701233862365789,0.017388273418674,0.0,0.0,0.12709401059605183,0.2326184713446303,0.0,False
845,disturbed,0.3863304297113311,0.3863304297113311,0.0,False,False,True,5,0,0.009221323164618418,0.03285552241614,0.0025571989245690998,0.0127859946228455,0.1778085102756684,0.3275618961741829,0.0,False
858,disturbed,0.1905702471170091,0.1905702471170091,0.0,False,False,True,5,0,0.0208456351105936,0.0415620510356355,0.01651152521009156,0.0825576260504578,0.10193894501870134,0.1089747925569024,0.0,False
876,disturbed,0.2881905985279571,0.2881905985279571,0.0,False,False,True,5,0,0.014366735901008782,0.0342200725565734,0.008333943825041979,0.0416697191252099,0.1361096766579424,0.2765104543521277,0.0,False
885,disturbed,0.2825639106538825,0.2825639106538825,0.0,False,False,True,5,0,0.02510280720094834,0.0513600572279613,0.0281095940300985,0.1029545111087308,0.13200031154072836,0.260999145906088,0.0,False
888,disturbed,0.2361562466766165,0.2361562466766165,0.0,False,False,True,5,0,0.023938321874891637,0.0595662850335276,0.0,0.0,0.14453409657458324,0.2469312218648793,0.0,False
901,disturbed,0.1625956964616633,0.1625956964616633,0.0,False,False,True,5,0,0.00644505188027468,0.0126363761258524,0.0,0.0,0.09587827617633152,0.099211387607671,0.0,False
905,disturbed,0.2320175957848502,0.2320175957848502,0.0,False,False,True,5,0,0.017809220622207283,0.0694522768884491,0.01681060463516128,0.0724846366751594,0.11527466336691856,0.1634926153068996,0.0,False
908,disturbed,0.2823182474621173,0.2823182474621173,0.0,False,False,True,5,0,0.012586042657265881,0.0227733563859552,0.0,0.0,0.2062663662653677,0.4129154411072758,0.0,False
916,disturbed,0.1655233490605026,0.1655233490605026,0.0,False,False,True,5,0,0.00924749101922928,0.0242773037940939,0.00013631723594334,0.0006815861797167,0.13847751109193132,0.2991333752843353,0.0,False
919,disturbed,0.1677839863986505,0.1677839863986505,0.0,False,False,True,5,0,0.00897172275968,0.018326281586894,0.0,0.0,0.1474779182623751,0.2775768579788716,0.0,False
936,disturbed,0.2210382239118373,0.2210382239118373,0.0,False,False,True,5,0,0.020480389316264162,0.0481035469354424,0.00914373079261534,0.0457186539630767,0.15282523469535897,0.3606569401169162,0.0,False
950,disturbed,0.1107630487541067,0.1107630487541067,0.0,False,False,True,5,0,0.0046211325090601,0.0186923256487367,0.0,0.0,0.1291121399936524,0.2919309411938321,0.0,False
959,disturbed,0.445551068630689,0.6317890674532817,-0.18623799882259268,False,True,False,5,3,0.055445549460974665,0.189326338303541,0.06704828226247668,0.1437204499258828,0.18239871341129038,0.3503968753616865,60.0,True
976,disturbed,0.3610167130198328,0.3610167130198328,0.0,False,False,True,5,0,0.02681132974402174,0.0492575570547919,0.01498028525747672,0.045501362818187,0.20046015883012921,0.3747623404143809,0.0,False
982,disturbed,0.2588500578539265,0.3496824837913195,-0.09083242593739299,False,True,False,5,1,0.01817605649093616,0.0482668224686126,0.03113066404437854,0.0908324259373929,0.09793801654055218,0.1920559198797479,20.0,True
