assembly_id,batch_id,batch_condition,zero_final_quality,structured20_final_quality,selective_bo_final_quality,structured20_beats_zero,selective_bo_beats_zero,selective_bo_beats_structured20,structured20_beats_selective_bo,structured20_improvement_vs_zero_percent,selective_improvement_vs_zero_percent,selective_minus_structured_quality,n_bo_triggers,bo_trigger_rate_percent,selective_final_mean_gap,selective_final_max_gap,selective_final_parallelism,selective_final_rms,structured_improvement,structured_improvement_percent,structured_residual_ratio,assembly_improved,high_residual_assembly,difficult_assembly
100038,4,normal,0.7744873580280068,0.1753029476960689,0.1753029476960689,True,True,False,False,77.36529255397741,77.36529255397741,0.0,0,0.0,0.1633028080657577,0.3574800734478924,1.9428902930940242e-16,0.190680832419738,0.5991844103319379,77.36529255397741,0.22634707446022592,True,False,False
100039,4,normal,0.8756917935613757,0.2493900683612774,0.2493900683612774,True,True,False,False,71.52079416583021,71.52079416583021,0.0,0,0.0,0.2155121629162278,0.529261526197979,5.551115123125783e-17,0.2595796162701539,0.6263017252000983,71.52079416583021,0.2847920583416979,True,False,False
100040,4,normal,0.3686203161204649,0.3310205137179078,0.3310205137179078,True,True,False,False,10.20014382231432,10.20014382231432,0.0,4,80.0,0.3392222825095404,0.6364713922974489,1.3530843112619095e-16,0.3831241127581098,0.037599802402557114,10.200143822314319,0.8979985617768568,True,True,True
100041,5,normal,0.8269756258822367,0.1712649245394024,0.1712649245394024,True,True,False,False,79.29020890347365,79.29020890347365,0.0,2,40.0,0.1519449187650351,0.3581246398481529,1.1102230246251563e-16,0.18244056955446,0.6557107013428343,79.29020890347365,0.20709791096526337,True,False,False
100042,5,normal,0.8987575605599354,0.2773567824655362,0.2375192301021834,True,True,True,False,69.13997782753115,73.57249156778092,-0.0398375523633527,3,60.0,0.2092282691596749,0.4553867907875223,0.0456038948724022,0.244535436563036,0.6214007780943992,69.13997782753115,0.3086002217246885,True,False,False
100043,5,normal,0.4110277569528822,0.166994571937263,0.166994571937263,True,True,False,False,59.37146114528555,59.37146114528555,0.0,3,60.0,0.1505779545798687,0.3457559759763575,2.775557561562892e-17,0.1809439277039515,0.2440331850156192,59.37146114528555,0.40628538854714447,True,False,False
100044,5,normal,0.1591168454348641,0.122785881523481,0.122785881523481,True,True,False,False,22.83288347760481,22.83288347760481,0.0,4,80.0,0.1200750540833744,0.2435519470200925,2.775557561562892e-17,0.1369778119244096,0.0363309639113831,22.83288347760483,0.7716711652239517,True,False,False
100045,5,normal,0.4263998227598448,0.2561301919171595,0.2561301919171595,True,True,False,False,39.93191876596625,39.93191876596625,0.0,4,80.0,0.2212672552969719,0.5427285653425604,5.898059818321144e-17,0.2693144572529983,0.17026963084268526,39.931918765966245,0.6006808123403375,True,False,False
100046,5,normal,0.8895852383117743,0.3187464526103619,0.3187464526103619,True,True,False,False,64.16909376607141,64.16909376607141,0.0,2,40.0,0.3323239329530031,0.6055449538801532,1.3877787807814454e-16,0.3738578656041496,0.5708387857014123,64.16909376607141,0.3583090623392857,True,True,True
100047,5,normal,0.148537257526927,0.1065130513321109,0.1065130513321109,True,True,False,False,28.29203049423333,28.29203049423333,0.0,2,40.0,0.0950655863243424,0.2214965555545975,2.775557561562892e-17,0.1154440876842892,0.0420242061948161,28.292030494233344,0.7170796950576666,True,False,False
100048,5,normal,0.638072878525773,0.2333771787657167,0.2333771787657167,True,True,False,False,63.42468288184888,63.42468288184888,0.0,1,20.0,0.2073086620144701,0.487535773372445,5.551115123125783e-17,0.2492384814964219,0.40469569976005626,63.424682881848874,0.3657531711815113,True,False,False
