strategy,scenario_type,severity_level,disturbance_flag,evaluated_cases,mean_quality_score,median_quality_score,std_quality_score,worst_case_quality_score,pass_rate_percent
individual_adaptive_setting,offset_dominant,low,normal,50,0.40536225972407613,0.40957055832906086,0.19305564860644134,0.7036200928241261,100.0
individual_adaptive_setting,offset_dominant,medium,normal,50,0.5506730232708453,0.4366350585582143,0.3317403204166299,1.1287054495516888,100.0
individual_adaptive_setting,tilt_dominant,high,normal,50,0.6071739483847398,0.5707408218428174,0.32939969991785595,1.1848847238563682,98.0
individual_adaptive_setting,tilt_dominant,low,normal,50,0.6506243328317474,0.634597491180862,0.33186427933783713,1.1971198370171057,90.0
individual_adaptive_setting,tilt_dominant,medium,normal,50,0.6275289220161769,0.6777939110480937,0.3200438426653661,1.161840372886525,98.0
individual_adaptive_setting,twist_dominant,high,normal,50,0.6347065219526473,0.6736748936688817,0.328337492264661,1.1841734046479468,98.0
individual_adaptive_setting,twist_dominant,low,normal,50,0.5961570554217509,0.5638512373329572,0.28703299054850817,1.126985715418753,100.0
individual_adaptive_setting,twist_dominant,medium,normal,50,0.7691621259205544,0.8191199464872976,0.2869828850685412,1.1795756345426993,94.0
individual_adaptive_setting,waviness_dominant,high,normal,50,0.8374100186542401,0.8325146365418785,0.27951196290363844,1.2959972855738415,92.0
individual_adaptive_setting,waviness_dominant,low,normal,50,0.5673389793093244,0.5628140850008274,0.20317389290830043,0.9698322530502888,100.0
individual_adaptive_setting,waviness_dominant,medium,normal,50,0.7734762663400185,0.7588059038881755,0.29952205064640797,1.2931333782025034,92.0
nominal_universal_baseline,bend_dominant,high,normal,50,1.1023573630079557,1.0387611744473935,0.5183076278745425,2.2351793210094337,66.0
nominal_universal_baseline,bend_dominant,low,normal,50,0.49792505079920896,0.4935474853458841,0.22733750540032524,0.9918861317713314,100.0
nominal_universal_baseline,bend_dominant,medium,normal,50,0.8800099824430447,0.8300848894872404,0.36054459397838284,1.630816631064698,84.0
nominal_universal_baseline,disturbed_batch,high,disturbed,50,8.525558875838623,8.428929369160066,2.257502619875817,12.10692813448696,0.0
nominal_universal_baseline,fixture_drift,high,normal,50,1.4970382633635217,1.3187953248089765,0.8480116407306583,3.368877788112577,42.0
nominal_universal_baseline,fixture_drift,low,normal,50,0.9062338361442517,0.9501033847952263,0.408755442381301,1.596917767477247,62.0
nominal_universal_baseline,fixture_drift,medium,normal,50,1.4007432641605695,1.4438573761821076,0.7212947634502714,2.6193013313376037,42.0
nominal_universal_baseline,mixed,high,normal,50,3.352963172066112,2.9659732929508156,1.9442495090137744,7.347287462742124,14.000000000000002
nominal_universal_baseline,mixed,low,normal,50,1.8938937671680818,1.9945487170341476,0.955874612593689,3.4183716039501753,24.0
nominal_universal_baseline,mixed,medium,normal,50,2.959985338551006,3.0238772303110424,1.5479418448883697,5.497458309883871,20.0
nominal_universal_baseline,offset_dominant,high,normal,50,1.3159582806737005,1.3979239124493126,0.5556631904573538,2.4999528113252607,34.0
