case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise,z_adj,theta_adj,locator_offset,mean_gap,max_gap,parallelism_error,rms_deviation,quality_score,tolerance_pass
1271,1.5711312935522073,-0.7066242596370278,0.011165319058997758,0.2543273270052187,0.13310789119562377,-1.5528115875026676,-0.6721311476592664,0.37342891271002165,6.122833340610052,12.252533476364421,24.288030610191385,7.066086430177776,13.505627871167533,0
1272,-1.6444013636493273,0.46473435383327955,-0.6956181350576329,0.5287482922137179,0.13095566795409905,0.548056866174953,-0.6895590401133384,-0.9016689489215668,1.2945034926311865,3.049483419952021,3.6318265044987315,1.5414663667900885,2.5468906618035905,0
1273,-1.8215441132197365,-0.8223762359719842,0.23945373740914766,0.278574283232521,0.03646604660938472,-1.403467211014044,1.0765956765674376,-0.7623668482158512,3.729244133354045,5.784099584941445,4.509832860568254,3.9701124281663525,4.603964216475758,0
1274,-0.7807423569093812,-0.05704547596161369,-1.4986514217772338,0.7367625499805797,0.014864788614015578,0.9123530034308622,0.30927714518997185,0.6181277102094744,1.9769543390803892,3.300452373551022,4.407795410201571,2.143134865895939,3.1198741234394882,0
1275,0.60555092224861,0.538774834431959,-0.23625417363441725,0.3909635956412986,0.1052493153246629,0.34213360527525527,0.027692520640127727,-0.5888831878909013,2.468519467238011,6.0482489072369505,10.028171242177779,2.9552939140933727,5.859011276405159,0
1276,-0.9675669567744984,-0.283005517881213,-1.4721468437294905,0.3338907596641896,0.00041527136458692216,0.3250771796066836,0.48966904553363744,0.12429726323025281,1.1132230120938156,2.24722093273133,3.6070383912685893,1.1955190826436652,2.2097966090924865,0
1277,0.7740798928195036,-0.999973662887585,-1.3216740801470714,0.5587699527004443,0.12043502219351558,1.0885078544469722,0.391229382128524,0.41476532762312,3.762646570491808,7.779996251329847,10.600186014819155,4.302275495808247,7.073076200573067,0
1278,0.9583597031846631,0.4487549967351385,0.7140254330650193,0.059215765932144664,0.009490732724193707,-0.6944002838528052,0.06623211491710945,0.5252381078434554,2.282136349561899,4.752598361507506,8.998558997712683,2.631963706918387,5.0731844833264645,0
1279,-0.6611687248359499,-0.44976584673273035,0.8443449243555885,0.199469481163196,0.12312620652216949,-1.614332251399807,-0.3372635451060556,-0.19784878114721938,4.2424182485653805,9.46629954892046,14.174912791539029,4.983187130223594,8.86340788972982,0
1280,-0.8019582107694285,-0.9932861722259747,-0.7934722265362564,0.270122847103099,0.04704373417899941,1.4277774823860359,-1.0863173699124646,-0.2221026006895186,9.260675743131987,18.62872146504557,36.25681329298107,10.6829243649664,20.312155586844227,0
1281,-1.849938177682235,0.8612951322580187,0.8706283110932889,0.7857292793904108,0.13652407975440278,-0.9209361394195781,0.45980018959339275,-0.3868918250431832,6.503248182180393,15.033705932432127,22.978564715194935,7.559941376156237,14.11064978655786,0
1282,1.5528447517184958,-0.1784942600653172,-0.37233737428730374,0.7312549953866667,0.12551104314297815,2.332067766821508,-1.0404285946213274,-0.5133222439222802,6.041339887091441,13.931273562933802,21.32202493079412,7.328332633464577,13.121224777592268,0
1283,-0.7965690085318173,-0.15129587809047584,-0.08060986215439181,0.2331779424533904,0.11856756347175426,-1.3837792775747175,0.4716415519178714,0.7035366311841948,1.935264994203757,5.0822560600974755,5.4359501276065245,2.4783482525579523,3.9838761798281226,0
1284,0.41479295663834526,-0.29168214821435834,-0.936326273410046,0.1074769555229568,0.11162621087235924,-0.15434001208241988,-1.0888330771983177,0.9676790138852405,6.252460581469917,12.48087315057477,24.387132872556442,7.16666830417244,13.652806811797582,0
