assembly_id,component_index,scenario,deviation_value,nominal_mean_gap,nominal_max_gap,nominal_parallelism,nominal_quality,corrected_mean_gap,corrected_max_gap,corrected_parallelism,corrected_quality
6,3,bend,0.2292355251491263,0.08612115639674026,0.23937859384062188,0.23226370233948312,0.17741683789226173,0.06910068069149132,0.11461776257456315,2.7755575615628914e-17,0.06288200892301053
6,4,waviness,0.11650930446383954,0.1000127652365929,0.23937859384062188,0.232263702339483,0.18335484281448114,0.08423873897361378,0.17755539611992227,5.551115123125783e-17,0.0885556794798114
6,5,twist,0.0646231504511824,0.10193984971992488,0.23937859384062188,0.232263702339483,0.1839386254098877,0.08535960163008606,0.2039366708432961,0.033836602464457174,0.10720415636052416
7,1,offset,0.7495766603046614,0.7495766603046612,0.7495766603046614,0.0,0.5247036622132629,0.0,0.0,0.0,0.0
7,2,tilt,-0.01016037540961539,0.7495766603046614,0.8382426633023055,0.1773320059952881,0.6046811516288366,0.0,0.0,0.0,0.0
7,3,bend,0.15902058167427702,0.8498017296829657,0.918710098637111,0.1773320059952881,0.6690355908377696,0.04793511141216461,0.07951029083713851,1.3877787807814457e-17,0.04362122157671304
7,4,waviness,0.0674490908700849,0.8498017296829655,0.9851602359612275,0.1773320059952881,0.6891758769175265,0.05202216805689206,0.11482585741577263,4.163336342344337e-17,0.05639176323233597
7,5,twist,0.09239691338632434,0.8352466927696536,0.9815428697634399,0.1773320059952881,0.6823002840497651,0.05404628196859063,0.14792542673983194,0.04837891075588546,0.08194341729973027
8,1,offset,0.395140302452312,0.395140302452312,0.395140302452312,0.0,0.2765982117166184,0.0,0.0,0.0,0.0
8,2,tilt,-0.002848686441371877,0.39514030245231213,0.4199997813522259,0.04971895779982771,0.29899832154049144,0.0,0.0,0.0,0.0
8,3,bend,0.13278748184299777,0.47883157335675974,0.5288694736512726,0.04971895779982771,0.36531077373670684,0.040027414497343074,0.06639374092149888,1.3877787807814457e-17,0.03642517281160298
8,4,waviness,0.06702075137235042,0.47883157335675974,0.5946220392270513,0.04971895779982777,0.385303317793409,0.048560404497008915,0.10239678974352527,4.163336342344337e-17,0.05106697517333981
8,5,twist,0.09758891817370516,0.46345865391290864,0.5908609336365077,0.04971895779982777,0.37807950442910476,0.05149889162655727,0.1422357645229439,0.05109743811218556,0.07986626888792832
9,1,offset,0.2601389599212048,0.26013895992120467,0.2601389599212048,0.0,0.1820972719448433,0.0,0.0,0.0,0.0
9,2,tilt,0.013578856707629875,0.2601389599212048,0.3786368412420904,0.23699576264177122,0.2896473515805649,0.0,0.0,0.0,0.0
9,3,bend,0.14675922341690445,0.3526361272312437,0.42675007101569684,0.23699576264177122,0.3411407136843672,0.0442390516446591,0.07337961170845222,1.3877787807814457e-17,0.04025778635502672
9,4,waviness,0.1092864529226688,0.3526361272312436,0.5324487955840811,0.23699576264177116,0.3732893121965953,0.07295697599942462,0.14730707971972573,6.938893903907228e-17,0.07441765835713902
9,5,twist,0.017502871371109233,0.34987894704460387,0.5280730777413037,0.23699576264177116,0.37089190550012247,0.07337468713487637,0.15445232186244456,0.009164482019623957,0.07950044890139135
10,1,offset,0.07654100885515452,0.07654100885515454,0.07654100885515452,0.0,0.05357870619860817,0.0,0.0,0.0,0.0
10,2,tilt,0.02178571944870475,0.11125875974124554,0.26665728516511855,0.38023255261992805,0.2409158648434112,0.0,0.0,0.0,0.0
10,3,bend,0.2178876439019746,0.22707803334596452,0.32899583149871725,0.38023255261992805,0.30592636570803455,0.0656799791310579,0.1089438219509873,2.7755575615628914e-17,0.0597691512218473
10,4,waviness,0.1271565425228758,0.21885690251662496,0.45282552007285826,0.38023255261992794,0.34118943277649955,0.08858128677097996,0.18467832373228663,6.938893903907228e-17,0.0923438038441607
10,5,twist,0.010136860423333718,0.2173871340876614,0.45029130496702485,0.38023255261992794,0.3398640328607843,0.08874895721339594,0.1888165203033061,0.0053076477061182875,0.09525524072785643
