assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret
673,high_variation,4,medium,waviness,0.14450116848876007,0.15678546700089224,0.012284298512132169,0.08501175900932383,0.014803346333332204,0.002593968405689512,0.09165271194488879,0.00833304473112035,informed,0.0,True,False,True,True
673,high_variation,5,high,twist,0.14467993667919568,0.1468019560518406,0.0021220193726449177,0.014666991300598588,0.010791878442214875,0.0,0.0939960564926863,0.00416652236556017,informed,0.0032725772175624,False,True,True,True
710,high_variation,1,extreme,offset,3.7721646511424795e-10,0.44390791835102356,0.4439079179738071,443907.9179738071,4.743284810125289e-10,5.460461151593197e-10,2.0021690956903026e-09,0.25309227319172883,informed,0.0,True,False,True,True
710,high_variation,2,high,mixed,0.20383750485368685,0.2303880192245984,0.02655051437091155,0.1302533328690877,0.08869598321301243,0.052778686150475346,0.6156166764176441,0.1648842523221764,informed,0.069216334054828,False,True,True,True
710,high_variation,3,high,twist,0.11290573015418784,0.16955377452924186,0.056648044375054024,0.5017286925800273,0.009039189660234934,0.004714409482872398,0.0905950171401171,0.03791621235435213,informed,0.0,True,False,True,True
710,high_variation,4,extreme,mixed,0.15220713568293964,0.4277739578159557,0.27556682213301603,1.8104724255966886,0.13986469625566664,0.053551397649067314,0.8374755319460986,0.3413702292101004,informed,0.0,True,False,True,True
710,high_variation,5,medium,tilt,0.09161647033796999,0.10436038238249327,0.012743912044523284,0.1391006660430317,0.020868762665294766,0.0,0.2065898917964044,0.009590094492492903,informed,0.0,True,False,True,True
721,high_variation,1,high,twist,0.022234940205222684,0.05190235535136662,0.029667415146143936,1.33427006649541,0.00034439551501471214,3.469446951953614e-18,0.004633439286750703,0.1004715886089741,informed,0.0,True,False,True,True
721,high_variation,2,high,mixed,0.12213054825712574,0.5139855470036302,0.3918549987465044,3.2084929146597974,0.03437218381028001,0.013705424781365702,0.30442369580141776,0.3952297722692685,informed,0.0,True,False,True,True
721,high_variation,3,extreme,mixed,0.22384572762518518,0.2590888721908646,0.03524314456567945,0.15744390093829158,0.026077447070570654,0.0,0.3005117811176795,0.021112482574932367,informed,0.0202475141618576,False,True,True,True
721,high_variation,4,medium,bend,0.2991830367685807,0.4231670310427408,0.12398399427416007,0.4144085026119385,0.04445047601116802,0.006593882597174305,0.4196308926888147,0.2136954363124104,informed,0.0,True,False,True,True
721,high_variation,5,high,mixed,0.22929801791429658,0.3560065805929357,0.12670856267863914,0.5525933622592337,0.019258609066655587,0.0,0.14555640924031588,0.08343999421382389,informed,0.0,True,False,True,True
730,high_variation,1,high,tilt,3.231071256197905e-11,0.04520965170305514,0.04520965167074443,45209.65167074443,3.151431156591364e-10,0.0,3.666956561170164e-09,0.003890092323761084,informed,0.0,True,False,True,True
730,high_variation,2,high,mixed,0.11274857367621323,0.12367327253386651,0.010924698857653278,0.09689434199874124,0.01287207047410921,0.0,0.1865223432360996,0.095762498971054,informed,0.0,True,False,True,True
730,high_variation,3,extreme,mixed,0.27740421564939016,0.5958731133293825,0.31846889767999237,1.148031932155291,0.06378822643661879,0.007218689161635428,0.7537680916798968,0.09244460473957332,informed,0.0,True,False,True,True
730,high_variation,4,extreme,offset,0.24093766056033036,0.24141223164778555,0.00047457108745518894,0.001969684134690754,0.06376593098728926,0.021864437920555285,0.3965646207249479,0.0,zero,0.0,True,False,True,True
730,high_variation,5,medium,mixed,0.20262544215216477,0.31366696278712036,0.11104152063495559,0.5480137116817108,0.04248836686089235,0.024677433792341497,0.3501962902276257,0.015089874667574422,informed,0.0,True,False,True,True
732,high_variation,1,high,bend,0.13788904757028078,0.13788904757028078,0.0,0.0,2.9256945571472508e-18,0.0,2.7755575615628914e-17,0.0,zero,0.0,True,False,True,True
732,high_variation,2,high,mixed,0.27340191340766345,0.32309900826384985,0.0496970948561864,0.18177303237115305,0.033076053573627556,0.0,0.3588164918104415,0.11218828664788918,informed,0.0,True,False,True,True
732,high_variation,3,high,mixed,0.3710286491618925,0.3778811294081064,0.006852480246213932,0.018468870966414135,0.04985977522518955,0.037921563305943706,0.4274638252694378,0.0,zero,0.0379215633059436,False,True,True,True
732,high_variation,4,extreme,bend,0.5156131902072273,0.5529335625679538,0.037320372360726495,0.07238056176516211,0.12034098940234447,0.17993697138966203,0.7149847908944995,0.04400205057809498,informed,0.0643898096569886,False,True,True,True
732,high_variation,5,medium,mixed,0.4876327882690377,0.5238695037823442,0.03623671551330648,0.07431148270799602,0.17721954812852567,0.22372725279059746,0.8988223393752814,0.2276939568910011,local_informed,0.0,True,False,True,True
735,high_variation,1,high,waviness,0.06542066529249284,0.06542066529249284,0.0,0.0,1.210721553411324e-17,1.3877787807814457e-17,2.7755575615628914e-17,0.0,zero,0.0,True,False,True,True
735,high_variation,2,high,mixed,0.19936523275863774,0.29715271742890553,0.0977874846702678,0.49049417151211405,0.006523795276259792,0.0,0.07513209123281381,0.24560006249133112,informed,0.0,True,False,True,True
