assembly_id,batch_condition,zero_final_quality,random_final_quality,bo_final_quality,bo_improvement_vs_zero_percent,bo_improvement_vs_random_percent,bo_final_mean_gap,bo_final_max_gap,bo_final_parallelism,bo_final_rms
313,offset_drift,1.3828036206660148,0.7745773400171702,1.6012940773008575,-15.800541260487064,-106.7313352163596,1.3091386850440248,2.436463461765147,1.1073023851971016,1.454227176989757
323,offset_drift,0.6746473674095301,2.1931801580360495,0.5045856141745773,25.20750268217093,76.99297012487912,0.32345482004875925,0.670179598170124,0.5623073050836187,0.37803097183826706
327,offset_drift,0.7710998642429199,2.5762253926477072,0.5468000774383907,29.088292866547306,78.77514603346027,0.5601637481222532,1.0250402341131242,0.028037761378635118,0.6282755435418695
329,offset_drift,1.153111939497019,2.132548298185839,1.0538424600187954,8.608832852907968,50.58294994231548,0.81463894070485,2.0043443683023137,0.36130397491518834,0.997562748420897
335,angular_drift,1.5674361781452575,1.5645408254143922,1.0671937666465592,31.91469091204936,31.78869165245996,0.69284058050588,2.433252381111931,0.06838397945126654,1.0885068432583607
337,angular_drift,1.3845979478671082,0.709899831846585,1.0568601965899938,23.670246787666787,-48.87455232112094,0.9884429714937369,1.7424242970521542,0.4410889996806937,1.0527331612201825
343,angular_drift,1.0428387355588424,2.041893510061966,2.2428219243012935,-115.06891217455563,-9.840298392114967,2.4840198535856715,3.972911369001257,0.08842736267709661,2.792143487220862
358,angular_drift,1.595506542569506,2.0318824727459175,0.9656877153602258,39.47453742151252,52.47324939738368,0.8344857194458875,1.6888268196907794,0.3888018883963273,0.9205338710032749
371,angular_drift,1.177167461040801,2.4821225886313787,1.5041179057715421,-27.77433589964045,39.40194925662797,1.0485767816394924,2.0809686102808964,1.479119376493516,1.2151847524737092
373,angular_drift,0.8512727382291406,1.9462833265366442,1.8492888751673735,-117.23811795199211,4.983573051610606,1.8561511584928394,2.8532711605151926,0.7643584925738978,2.0715463169279476
381,angular_drift,1.3694164646670275,2.7378247301180973,1.2028299237952826,12.164782969237208,56.06621890133201,0.93626136687958,2.165432411654361,0.5440474313042607,1.0910756084382227
403,angular_drift,1.5777069061933384,1.9547590210521268,1.2835321291125164,18.645717777239213,34.3380889772454,0.9766827903490427,2.059588642860008,0.8653644706653489,1.1304135795019656
422,angular_drift,1.8965852668088505,3.394937300828711,1.069420896674893,43.613349982715235,68.49953911037339,1.1956659681467494,1.7444239861130497,0.1912770387323648,1.3001079877724384
433,angular_drift,1.5562563369493014,0.5735410701042263,1.1764190856236967,24.407113552397945,-105.11505573784157,0.7649474741964623,2.4596216917356792,0.34541482972293536,1.0542388692717364
463,angular_drift,1.6833994954649896,0.8019946370997748,1.5083295448521454,10.399786330248734,-88.0722731895895,1.3567746279401842,3.0611402964848233,0.08232409833664645,1.5825783802364917
467,angular_drift,1.2559125566576352,0.7767038612276216,1.6400491075214845,-30.586249721569253,-111.15500892828058,1.6138286594421025,3.1848733431013194,0.07770084200711747,1.771282541563227
468,angular_drift,1.1040780371259786,1.1337859177948582,1.0701116434061146,3.0764486365729886,5.616075609104931,0.9290086854927014,1.8167126309968644,0.47731116336277224,1.0320189945041323
476,angular_drift,1.2328993788040827,1.3776937304061432,0.743145566102106,39.72374559690668,46.058724831169314,0.5546159335181567,1.186740959745749,0.5173470340308964,0.6553438791366545
483,angular_drift,1.991058413357631,1.664790285909405,1.0581195056416137,46.856430803692554,36.44127343861768,0.9168707477390832,2.1605225524910123,0.09545641441542774,1.0626459124795702
488,angular_drift,1.3416947851538519,1.495605403217594,0.5897780802851912,56.042306580362734,60.565930089824306,0.500143627058067,1.2190263112469264,0.04462297774607624,0.6064020546987026
501,angular_drift,1.0930517943132616,5.7487382519083745,1.0490826697858704,4.02260210871489,81.75107956189147,0.9510366509200742,1.8206403964683662,0.3761666769523251,1.047295524836409
504,fixture_drift,0.7828474051137029,0.6761055002306178,0.7532869106919103,3.7760225337272586,-11.415586832967072,0.5143449843351872,1.412594879830917,0.3705145457456921,0.640505877183716
510,fixture_drift,1.0825623653607004,1.8384855210558009,0.9877369590553552,8.759348129911222,46.27442273855276,0.5804444003260094,1.6651713516565,0.7878855038769705,0.776865822975112
526,fixture_drift,1.3874174607332332,2.0167888794669295,0.9861920704805396,28.918865561966545,51.10087721520924,0.6040211120191151,1.2102946932422034,1.2476715583703157,0.6759586139104934
