assembly_id,batch_condition,component_index,severity,scenario_type,zero_quality,direct_greedy_quality,direct_z_adj,direct_theta_adj,direct_locator_offset,direct_utilization,selected_do_nothing,direct_mean_gap,direct_max_gap,direct_parallelism,direct_rms
526,fixture_drift,5,low,mixed,1.3874174607332332,0.5969804291365199,-0.10531143085439768,0.009883488576200299,0.0,0.04212457234175907,False,0.6231885558473832,1.1320830461010545,0.0,0.7039894855198868
547,fixture_drift,1,medium,mixed,0.4779045597117112,0.07376750654797207,0.15632687893319644,-0.04050702738188,0.0,0.06253075157327857,False,0.0775361440043499,0.13955456713821343,0.0,0.08640293205203067
547,fixture_drift,2,medium,offset,0.4594144472659725,0.14753501309594413,-0.26430410068251414,-0.0,0.0,0.10572164027300565,False,0.15507228800869977,0.27910913427642686,0.0,0.17280586410406135
547,fixture_drift,3,high,mixed,0.7971893949833482,0.2160889849700602,-0.45777242823457565,0.04225020537427815,-0.526922582203478,0.526922582203478,False,0.2250000514855217,0.37387403579934797,0.03536558269984619,0.25817083974645433
547,fixture_drift,4,low,waviness,0.8795161708569852,0.17759422384327164,-0.2266160796732435,-0.0025970594507684908,-0.16423635748130727,0.16423635748130727,False,0.15782317661971595,0.36352693445253176,0.009961655617142073,0.18200693836454732
547,fixture_drift,5,medium,tilt,1.1484128706056236,0.23423241624026578,-0.11291389490979035,0.028274110945076692,0.0,0.04516555796391614,False,0.229470545914005,0.4661569116123436,5.551115123125783e-17,0.2554417898236116
554,fixture_drift,1,high,bend,0.2134753697205993,0.11328921702914453,-0.22161006755057563,-1.3914926731402886e-18,0.0,0.08864402702023025,False,0.11737972064888938,0.21631394554980068,2.7755575615628914e-17,0.13181117169537482
554,fixture_drift,2,medium,mixed,0.7642792871309092,0.1533693456413599,-0.2627338967641375,0.011968315221554615,-0.8901488687631738,0.8901488687631738,False,0.136017624877711,0.30229406023873356,0.021020808842833028,0.1556959745357664
554,fixture_drift,3,high,mixed,1.1415766365901605,0.19445742713383143,-0.3620189026581962,0.016432951819606516,0.0,0.14480756106327847,False,0.16533326471360948,0.4150209439236361,0.0,0.20351164542657757
554,fixture_drift,4,extreme,twist,1.2059757427594882,0.2135856363304983,0.0,0.0,0.0,0.0,True,0.21869085147261322,0.4097435454688964,0.0,0.2505531724804541
554,fixture_drift,5,low,tilt,1.2766550580017495,0.2877558313480225,-0.19226709996104202,-0.008742399168523403,0.0,0.0769068399844168,False,0.26197360424656735,0.5967075554885308,0.0,0.30151483427493053
653,fixture_drift,1,medium,mixed,0.5891355440300982,0.12228490119622301,-0.5052434299900637,0.032163631837757695,0.0,0.20209737199602545,False,0.11968099561486416,0.24251743712605378,1.1102230246251565e-16,0.1362537137394759
653,fixture_drift,2,medium,mixed,0.7917082604926754,0.22297522273793421,-0.18599820289099242,7.951386703658792e-18,0.0,0.07439928115639696,False,0.23251565431841045,0.4232125500756386,0.0,0.2625676141971949
653,fixture_drift,3,high,twist,0.912390014997969,0.2871327673457939,-0.11809855233542299,-0.0,0.0,0.0472394209341692,False,0.3061879362724764,0.536008012469654,0.0,0.3447398272315478
653,fixture_drift,4,low,bend,1.0778217516303914,0.3632030637103737,0.28352500630461375,-0.02026012494794882,-0.8812023827485209,0.8812023827485209,False,0.27663667294632915,0.47967883340307765,0.35360590194510677,0.30226641222019596
653,fixture_drift,5,medium,offset,1.0794384977435327,0.26335353008694157,-0.11506292085661758,0.02026012494794882,0.0,0.046025168342647034,False,0.24617126423008237,0.5387719388264876,1.1102230246251565e-16,0.2787056916997056
655,fixture_drift,1,medium,mixed,0.13052940257684897,0.09636281044536663,-0.09252571048869343,3.180554681463517e-18,0.0,0.037010284195477375,False,0.0936502490263536,0.19242225650174025,0.0,0.10541058786938476
655,fixture_drift,2,medium,mixed,0.38016926937380624,0.21254732750948752,-0.2308933129188879,-0.004694155437009501,0.0,0.09235732516755515,False,0.22118843668250188,0.4054806716670407,0.0,0.24546595004624733
655,fixture_drift,3,high,offset,0.4576268377510711,0.28373291260230626,0.7356800291788715,-0.0,0.0,0.2942720116715486,False,0.2969201248669827,0.5389437318055887,0.0,0.32973755600534843
655,fixture_drift,4,low,mixed,0.41176579094162646,0.37640767468298914,-0.3209350131900152,0.011181332831060702,0.0,0.1283740052760061,False,0.39272102445821416,0.7163339539230889,0.0,0.4369118116859819
655,fixture_drift,5,medium,mixed,0.588284258358563,0.3619822788664235,0.3881008599218716,-0.03914748394737955,-0.5808461308429449,0.5808461308429449,False,0.29495981198680143,0.5851207898797793,0.21179465600771746,0.3441970150413405
