batch_id,batch_condition,assembly_id,n_components,variation_multiplier,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
4,fixture_drift,602,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+bend+offset+tilt+mixed,0.5317096016794135,1.3296351576889853,1.2098985432048357,0.6261925127412463,0.9839922420460949
4,fixture_drift,603,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+waviness+twist+bend,0.9659056719658616,1.939850132563751,0.2675032587688808,1.1369965025814417,1.065677369247692
4,fixture_drift,604,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+bend+mixed+mixed+mixed,0.9802843801601387,1.8307784237409441,0.44352816840198034,1.120818179659398,1.0884591096568588
4,fixture_drift,605,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+waviness+mixed+twist+tilt,0.6437133891049559,1.461857098947789,0.7207769272348854,0.7388447297685397,0.9217886975631431
4,fixture_drift,606,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+mixed+mixed+mixed+twist,1.5132208647534495,2.589480112581956,0.5924256914392422,1.6578763302236559,1.57432563365476
4,fixture_drift,607,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+tilt+tilt+bend+mixed,1.142388279946675,2.0721071324456584,0.48345004065238095,1.2699226287606684,1.236375898789481
4,fixture_drift,608,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+twist+mixed+mixed+mixed,0.8529399924553962,1.6094814893484217,0.7588803498878359,0.9572919525522464,1.0621197447627206
4,fixture_drift,609,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,twist+twist+mixed+twist+twist,0.5827978212850503,1.3293294386703844,0.23799015247795985,0.7264006986937896,0.7176752935993973
4,fixture_drift,610,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+waviness+mixed+tilt+tilt,0.8086025580871213,1.7350657919924868,0.49620347882776167,0.9439172966447181,1.0063532783366826
4,fixture_drift,611,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,twist+mixed+bend+offset+offset,0.9157471185513756,1.6593322654419773,0.2323449456589777,1.0345984801085,0.9456871469065491
4,fixture_drift,612,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,bend+mixed+offset+offset+waviness,1.0151132724795595,1.7989815520475179,5.551115123125783e-17,1.1199261914522274,0.9562210665033459
4,fixture_drift,613,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,twist+tilt+mixed+offset+bend,0.5424391344002869,1.1608479632929078,0.685285038968658,0.6339298455607741,0.7799646255546332
