assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
463,angular_drift,2,medium,mixed,0.12409563796994273,0.1364833335445873,0.012387695574644572,0.1364833335445873,0.0,True,True,1,True,True,-0.062467657442183,-0.027959216814747775,-0.0,0.0249870629768732,1.5562838705896316e-05,0.12088161452323641,0.2860598402807751,6.412070638339706e-08,0.14400877867171938
463,angular_drift,3,high,bend,0.2479503181604828,0.23477628377402956,0.013174034386453232,0.23477628377402956,0.0,True,True,1,True,True,-0.04734128432943469,-0.027959218651671575,-0.0,0.02329934887639298,1.201934947170047e-05,0.22605564847477105,0.4696867944188197,3.206034554503745e-08,0.2605354128784865
463,angular_drift,4,low,offset,0.23330078411677435,0.18090101322500224,0.05239977089177211,0.18090101322500224,0.0,True,True,1,True,True,-0.1539572559670157,-0.027959219570133257,0.0317725563329761,0.06158290238680628,7.126411861393145e-05,0.16645361661896546,0.37100534420879505,1.6030168914493714e-08,0.19663320167623408
463,angular_drift,5,medium,offset,0.16027991044843612,0.1585929153682933,0.0016869950801428057,0.1585929153682933,0.0,True,True,1,True,True,-0.2657082018102849,-0.02795922002936399,-0.0,0.10628328072411397,0.00015785327297391453,0.1479482109257959,0.3216646191037829,8.015082597623291e-09,0.17709063954894902
468,angular_drift,1,high,mixed,0.22588545297300652,0.22709737093742854,0.0012119179644220213,0.22709737093742854,0.0,True,True,1,True,True,-0.0,-0.0279592204885945,-0.0,0.023299350407162085,7.238129725276321e-06,0.21502101893648046,0.45865346242804217,5.551115123125783e-17,0.24995026528071745
468,angular_drift,2,medium,waviness,0.1902366506816772,0.18765142142921384,0.0025852292524633502,0.18765142142921384,0.0,True,True,1,True,True,-0.10224388371880141,-0.0279592204885945,-0.0,0.04089755348752057,2.95395948088044e-05,0.16108076293945134,0.3992896240339575,5.551115123125783e-17,0.19540305337191172
468,angular_drift,3,high,mixed,0.16737053312435013,0.16432155683864477,0.003048976285705357,0.16432155683864477,0.0,True,True,1,True,True,-0.051121941859400714,-0.0211711803963988,-0.0,0.020448776743760284,9.725541079927026e-06,0.14303608976038024,0.34690338761823314,2.1362235064215085e-08,0.17339707216390252
468,angular_drift,4,extreme,tilt,0.19302733868535799,0.15600904030751078,0.0370182983778472,0.15600904030751078,0.0,True,True,1,True,True,-0.0229771732101499,0.011763569651474242,0.0359075382895612,0.0359075382895612,1.9598955964923864e-05,0.13984779854863233,0.32392622081939054,5.877910616569615e-08,0.16876816863372043
468,angular_drift,5,low,mixed,0.1827107634155079,0.1529611737262949,0.029749589689213013,0.1529611737262949,0.0,True,True,1,True,True,0.20034575096305715,-0.04271644201323665,-0.0,0.08013830038522286,0.00010252394786944996,0.13908750402401146,0.31500411770615677,1.230932976381549e-07,0.16733650279255147
526,fixture_drift,1,high,twist,0.05102086398979146,0.05101206802811285,8.795961678603748e-06,0.05101206802811285,0.0,True,True,1,True,True,-0.0,-0.0,-0.2512163072405328,0.2512163072405328,0.000841461773647597,0.053769528427942914,0.0955351161179275,1.3010426069826053e-17,0.06220674664351718
