assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret,positive_regret
295,offset_drift,3,high,tilt,0.2460146375551969,0.2998229914833716,0.0538083539281746,0.2187201317080248,0.1414148672555431,0.1230704662621167,0.94342821257146,0.1881805138313168,informed,0.0,True,False,True,True,False
295,offset_drift,4,low,waviness,0.0980977524059117,0.2189034223651088,0.1208056699591971,1.2314825467083472,0.0216577105418685,0.0313386801267936,0.1062517748569537,0.0861222900583557,informed,0.0,True,False,True,True,False
295,offset_drift,5,medium,mixed,0.1484875246090098,0.3059764141885548,0.1574888895795449,1.0606203450036429,0.0431865740848324,0.0445611636840322,0.3281090293965905,0.0856204529427669,informed,0.0,True,False,True,True,False
313,offset_drift,1,medium,tilt,0.1809112597341407,0.5929185739928916,0.4120073142587508,2.277400062683874,0.1301783924592606,0.1731316141223434,0.6889884062939557,0.1076915001383169,informed,0.0,True,False,True,True,False
313,offset_drift,2,medium,bend,0.0489495892538198,0.1965664093161034,0.1476168200622835,3.015690679176926,0.0110844491468411,0.0103356154164429,0.1345152513867741,0.085118615827178,informed,0.0,True,False,True,True,False
313,offset_drift,3,high,mixed,0.0899822405384603,0.1504969786326659,0.0605147380942055,0.672518685154769,0.0759522730197162,0.0464770030149054,0.5454816085372484,0.1460623624633939,informed,0.0,True,False,True,True,False
313,offset_drift,4,low,waviness,0.109144026073851,0.2331638488462501,0.124019822772399,1.1362951068754092,0.0630403803628298,0.0518401496625642,0.3629438486063804,0.0978800173605878,informed,0.0,True,False,True,True,False
313,offset_drift,5,medium,waviness,0.1183920587173626,0.2486262938610046,0.130234235143642,1.100025090825984,0.0246910775490891,0.0296534662863499,0.1526582185856975,0.0893890154696636,informed,0.0,True,False,True,True,False
323,offset_drift,1,medium,bend,0.0759463474787368,0.2214893469879639,0.1455429995092271,1.916392352508798,0.0056805290225804,0.0,0.0783487951425869,0.085118615827178,informed,0.0,True,False,True,True,False
323,offset_drift,2,medium,waviness,0.1039798836226004,0.1665596616038695,0.0625797779812691,0.6018450473401684,0.0166767449911189,0.0,0.130503236067657,0.1023206933422119,informed,0.0,True,False,True,True,False
323,offset_drift,3,high,mixed,0.2014644861335113,0.4379806424734601,0.2365161563399487,1.1739843625998103,0.0692837621755815,0.0093913622002622,0.5462536610520664,0.1703964699850263,informed,0.0,True,False,True,True,False
323,offset_drift,4,low,twist,0.158911102427223,0.2998504289908661,0.140939326563643,0.8869067321975783,0.0092223219045355,0.0,0.0898743119119111,0.1053715737990746,informed,0.0,True,False,True,True,False
323,offset_drift,5,medium,mixed,0.2287264011550777,0.4251329352906277,0.1964065341355499,0.8586963863536906,0.0116152533218084,0.0002863861840882,0.091834655306016,0.0972530981751221,informed,0.0,True,False,True,True,False
327,offset_drift,1,medium,mixed,0.1342193757594357,0.3321503768206129,0.1979310010611771,1.4746827717030442,0.0022239448944383,0.0,0.0212123153577163,0.085118615827178,informed,0.0,True,False,True,True,False
327,offset_drift,2,medium,mixed,0.1521422546440645,0.2407216270908528,0.0885793724467882,0.5822141432964756,0.0573661017689447,0.0,0.5620937270477172,0.0188915703462257,informed,0.0,True,False,True,True,False
327,offset_drift,3,high,waviness,0.1846697571726939,0.3024968362387749,0.1178270790660809,0.6380420967137294,0.0194857181733535,0.0,0.1318147421004134,0.0953587226238514,informed,0.0,True,False,True,True,False
327,offset_drift,4,low,mixed,0.1971384686709888,0.2785139452194357,0.0813754765484468,0.4127833451129073,0.0242980154166496,0.0076691630314399,0.2362234891237959,0.0500726166897532,informed,0.0,True,False,True,True,False
327,offset_drift,5,medium,bend,0.2251639832279621,0.2566989175429313,0.0315349343149691,0.1400531908473225,0.0475486838402706,0.0,0.3407119442358512,0.0870781691717719,informed,0.0,True,False,True,True,False
329,offset_drift,1,medium,mixed,0.0743344028316191,0.2605502303981139,0.1862158275664947,2.505109619139702,0.0483917819038701,0.0449361160131454,0.2215971099917967,0.085118615827178,informed,0.0,True,False,True,True,False
329,offset_drift,2,medium,tilt,0.0929657902049165,0.3987853602940653,0.3058195700891488,3.289592541676427,0.0843767768175371,0.0611810303469028,0.7234580005075024,0.0983811589263837,informed,0.0,True,False,True,True,False
329,offset_drift,3,high,mixed,0.1820932101787533,0.3405308436967623,0.1584376335180089,0.8700908362397328,0.0406096658914592,0.0521178342598257,0.2381712975839636,0.1201344770472097,informed,0.0,True,False,True,True,False
329,offset_drift,4,low,twist,0.1581195697408383,0.2617318336722634,0.103612263931425,0.6552779273384565,0.0178340840771299,0.0228747334494718,0.1496941934127673,0.1206489000679243,informed,0.0,True,False,True,True,False
329,offset_drift,5,medium,twist,0.2025687169830193,0.2427979598186226,0.0402292428356032,0.1985955355533772,0.0685026598405648,0.0647454565173503,0.4699626623301721,0.1645054689279078,informed,0.0,True,False,True,True,False
335,angular_drift,1,medium,waviness,0.0170973928550574,0.178868065031679,0.1617706721766216,9.46171580357469,7.370018486880417e-05,0.0,0.0005756968084293,0.023299350407162,informed,0.0,True,False,True,True,False
335,angular_drift,2,medium,bend,0.0533623093947267,0.2760582865948142,0.2226959772000875,4.17328222346566,0.0101990446432456,0.0,0.0825807751740922,0.023299350407162,informed,0.0,True,False,True,True,False
335,angular_drift,3,high,mixed,0.1308608718736708,0.1350819531099089,0.004221081236238,0.0322562518176783,0.0483279671556277,0.0167069978670787,0.44338797630446,0.0,zero,0.0111860504505224,False,True,True,True,True
335,angular_drift,4,low,mixed,0.1661632077083763,0.3261190571269297,0.1599558494185533,0.9626430039752412,0.0985279166505524,0.1159307256499954,0.6042720288584943,0.0423882344929737,informed,0.0,True,False,True,True,False
335,angular_drift,5,medium,offset,0.1744986995297935,0.2697452283707076,0.095246528840914,0.5458294479991345,0.1214502730783411,0.0871575931533611,0.6874810763726071,0.2297431698640102,informed,0.0,True,False,True,True,False
337,angular_drift,1,medium,mixed,0.1164476380061154,0.3941915538396588,0.2777439158335433,2.385139970112207,0.0158195942068588,0.0,0.1446616442420047,0.0462692431962674,informed,0.0,True,False,True,True,False
337,angular_drift,2,medium,mixed,0.2760021854506933,0.4168819045323201,0.1408797190816268,0.5104297230530243,0.0275419558472244,0.0,0.2311740618823735,0.0232993449761269,informed,0.0,True,False,True,True,False
337,angular_drift,3,high,mixed,0.2970513321280154,0.3208805086833062,0.0238291765552907,0.0802190529986295,0.1843063457088445,0.066446821726371,1.2125079184852268,0.0493920915276528,informed,0.0020772440043221,False,True,True,True,True
337,angular_drift,4,low,mixed,0.248142788993642,0.345740403442449,0.0975976144488069,0.3933123136264405,0.1048649763417711,0.0434486234481998,0.6586840489924527,0.1677238804975966,informed,0.0,True,False,True,True,False
337,angular_drift,5,medium,twist,0.192330235462035,0.3751952501372256,0.1828650146751905,0.9507866209173708,0.0147777078826665,0.0,0.1527090943166398,0.02329934450166,informed,0.0,True,False,True,True,False
343,angular_drift,1,medium,waviness,0.0587764176130783,0.2710236330738313,0.2122472154607529,3.611094790736712,0.0001074668494019,0.0,0.001025231692833,0.023299350407162,informed,0.0,True,False,True,True,False
343,angular_drift,2,medium,offset,0.0711336398184598,0.4846857913301513,0.4135521515116914,5.813735281466234,0.0455701593996765,0.0141246039198682,0.3845849488755471,0.2090173241762403,informed,0.0,True,False,True,True,False
343,angular_drift,3,high,mixed,0.2183263438360029,0.2237907055747041,0.0054643617387011,0.025028412250634,0.1284805397210718,0.0847258948433483,0.5894329659269886,0.0651148845995329,informed,0.0,True,False,True,True,False
343,angular_drift,4,low,twist,0.200699091947825,0.2276739183454962,0.0269748263976711,0.1344043270743033,0.0895943856488606,0.1054199513445222,0.4165718950906867,0.1094931384357919,informed,0.0,True,False,True,True,False
343,angular_drift,5,medium,mixed,0.2352010615239823,0.2810622922806436,0.0458612307566612,0.1949873459732877,0.0440866424151488,0.0,0.3067083097652738,0.007653794511117,informed,0.0,True,False,True,True,False
358,angular_drift,1,high,bend,0.0965509617912959,0.291084562053011,0.1945336002617151,2.014828196970404,0.0006541453133358,0.0,0.009388817229722,0.023299350407162,informed,0.0,True,False,True,True,False
358,angular_drift,2,medium,tilt,0.0746048151980291,0.2258895815117598,0.1512847663137306,2.0278150399831985,0.0289367366227205,2.3297474266992246e-05,0.1559776514726235,0.0400023426448843,informed,0.0,True,False,True,True,False
358,angular_drift,3,high,bend,0.1595629082940036,0.3528024379792563,0.1932395296852526,1.211055449861806,0.0284413607836655,0.0,0.2755534708499477,0.0232993469927895,informed,0.0,True,False,True,True,False
358,angular_drift,4,extreme,bend,0.2025649011647939,0.3141171815288688,0.1115522803640748,0.550698959803125,0.01154205042433,0.0,0.0915754343203038,0.0318410044760831,informed,0.0,True,False,True,True,False
358,angular_drift,5,low,bend,0.1949799151312454,0.2985650537127445,0.1035851385814991,0.5312605583594269,0.0134196530329454,0.0041105523386821,0.1003971569033727,0.0355863805921072,informed,0.0,True,False,True,True,False
371,angular_drift,1,medium,offset,0.0091103637609457,0.3013939890801659,0.2922836253192201,32.08254170620267,0.0476694440270298,9.836237668645287e-10,0.431311569606196,0.0767784376240913,informed,0.0,True,False,True,True,False
371,angular_drift,2,medium,mixed,0.0620562584230169,0.5343896807374976,0.4723334223144806,7.611374490139903,0.0353506282671382,0.0297843028124811,0.3011028993285717,0.1785039560198511,informed,0.0,True,False,True,True,False
371,angular_drift,3,high,waviness,0.0646428146117187,0.2770369792650348,0.212394164653316,3.285657747563677,0.0258050353884858,0.0208637836409443,0.3483159526347112,0.023299350407162,informed,0.0,True,False,True,True,False
371,angular_drift,4,low,waviness,0.1277356620276933,0.2926312176940798,0.1648955556663865,1.2909124440959718,0.0738741158207276,0.069863420608587,0.3679493151657149,0.0783679140144964,informed,0.0,True,False,True,True,False
371,angular_drift,5,medium,mixed,0.2918547547627224,0.4371152150275613,0.1452604602648389,0.497714900629032,0.2102363089612872,0.2713834031850478,1.0928642839748048,0.0454808654580766,informed,0.0,True,False,True,True,False
373,angular_drift,1,medium,bend,0.0920149971096205,0.2910765154277798,0.1990615183181592,2.163359501940869,0.0257568999836707,0.0,0.3266524322921093,0.0306789335280749,informed,0.0,True,False,True,True,False
373,angular_drift,2,medium,mixed,0.1586107510997476,0.2608013128365535,0.1021905617368058,0.6442852141374699,0.0280188139607131,0.0,0.2938299687599309,0.0201581406866071,informed,0.0,True,False,True,True,False
373,angular_drift,3,high,mixed,0.226332041950858,0.5587938035764489,0.3324617616255909,1.4689115989055417,0.0808497032734104,0.0,0.4995291415489361,0.0369387247852468,informed,0.0,True,False,True,True,False
373,angular_drift,4,low,twist,0.164871017424433,0.3900812053935679,0.2252101879691349,1.3659780323267414,0.0139576755302716,0.0061983332149947,0.1030270502929663,0.0404925678951024,informed,0.0,True,False,True,True,False
373,angular_drift,5,medium,mixed,0.1763707901015679,0.218094877570939,0.0417240874693711,0.2365702815377941,0.0595030927200793,0.0,0.4520101482170248,0.0398050382194566,informed,0.0,True,False,True,True,False
