assembly_id,batch_condition,component_index,scenario_type,severity,global_quality,global_mean_gap,global_parallelism,batch_quality,batch_mean_gap,batch_parallelism,individual_quality,individual_mean_gap,individual_parallelism,individual_z_adj,individual_theta_adj,individual_locator_offset,correction_utilization
523,fixture_drift,4,tilt,low,0.5800030747002106,0.3898232697842389,0.6586942022348271,0.2647138223352967,0.21935553571423066,0.19355114803403278,0.1480140285907178,0.12933329459594747,2.7755575615628914e-17,-0.046514328367280935,0.0087583240717775,-0.2512163072405328,0.2512163072405328
523,fixture_drift,5,twist,medium,0.6853971510640773,0.4536169153668949,0.78515235449358,0.2828266734309295,0.23099779685969327,0.20372353674258709,0.14768716969649648,0.13085858273552084,2.7755575615628914e-17,-0.04168072022026541,7.951386703658792e-19,-0.2512163072405328,0.2512163072405328
524,fixture_drift,1,waviness,high,0.13939385623862735,0.08887364994995142,0.12645815225875295,0.06734259020146022,0.05629722390027441,0.010172388708554362,0.06733967821345985,0.057141925523247566,5.637851296924623e-17,-0.0,-0.0,-0.2512163072405328,0.2512163072405328
524,fixture_drift,2,mixed,medium,0.3507399495303431,0.2604293786439182,0.2529163045175059,0.21851731061671287,0.1937917131902506,0.020344777417108717,0.1596584625722611,0.13495950129580536,6.938893903907228e-17,-0.10999182257575144,1.6151254241806922e-18,-0.2602810231696121,0.2602810231696121
524,fixture_drift,3,waviness,high,0.5286264976393907,0.3677921338073496,0.3793744567762589,0.3279969914495184,0.2790268080559804,0.030517166125663145,0.2607736530339992,0.23646461017366258,1.734723475976807e-16,-0.04316454373858404,1.987846675914698e-18,-0.2512163072405328,0.2512163072405328
524,fixture_drift,4,offset,extreme,1.162380060675409,1.1240795287413194,0.5058326090350118,0.919532237884261,1.0852014118420443,0.040689554834217434,0.2713144384187948,0.24155068914237757,1.1102230246251565e-16,-0.87691581977025,4.9696166897867456e-18,-0.2512163072405328,0.35076632790810003
524,fixture_drift,5,bend,low,1.2861749649845056,1.1949700505305747,0.6322907612937645,0.9759861782371638,1.1463724044064811,0.05086194354277174,0.29736748728405854,0.255229948640971,5.551115123125783e-17,-0.038426469989583406,3.180554681463517e-18,-0.2512163072405328,0.2512163072405328
525,fixture_drift,1,tilt,medium,0.38595902679954,0.1878235564611434,0.6541086057949732,0.2991834331670699,0.13585429338780966,0.5378228422447746,0.037327739173631455,0.03684711207324988,0.0,-0.0,0.0302321412400955,-0.2512163072405328,0.2512163072405328
525,fixture_drift,2,mixed,medium,0.3518899737127511,0.22563871839645636,0.504694969074422,0.20367052025707602,0.1242198651816742,0.2721234419740248,0.09847485931268297,0.1001887130073111,2.7755575615628914e-17,-0.01842355603662494,-0.0158062887942573,-0.2133219624892114,0.2133219624892114
525,fixture_drift,3,twist,high,0.46004166820681097,0.2940476441263072,0.6311531213331749,0.22568828309316918,0.13921372466706958,0.2822958306825792,0.09413717154923902,0.09071441602650325,3.469446951953614e-17,-0.049563663821197104,7.951386703658792e-19,-0.2512163072405328,0.2512163072405328
525,fixture_drift,4,offset,low,0.6812072782591198,0.48054744452227655,0.7576112735919278,0.3970658412428745,0.3465975283642035,0.29246821939113354,0.11194898338075247,0.10509856844458253,2.7755575615628914e-17,-0.24508131572036007,9.93923337957349e-19,-0.2512163072405328,0.2512163072405328
525,fixture_drift,5,tilt,medium,0.531953388623845,0.44664143754619107,0.16097395736536346,0.47688537723410485,0.37737096723785896,0.4204548603856294,0.13024689824057822,0.12182384846641713,5.551115123125783e-17,-0.03461878304792861,-0.0414303113083964,-0.2512163072405328,0.2512163072405328
526,fixture_drift,1,twist,high,0.11443150198023762,0.08139185485173236,0.12645815225875287,0.0508064085009203,0.04836749409443865,0.010172388708554293,0.05101206802811285,0.053769528427942914,1.3010426069826053e-17,-0.0,-0.0,-0.2512163072405328,0.2512163072405328
526,fixture_drift,2,mixed,medium,0.3481818857478351,0.3128105359473416,0.08605238818415795,0.3118382920823936,0.26316836814497824,0.14651913891623922,0.24798705341173832,0.250929551958791,4.163336342344337e-17,-0.026884764213971457,-0.0095605980701912,-0.2512163072405328,0.2512163072405328
526,fixture_drift,3,mixed,high,0.7751074980597454,0.7655256409046775,0.16348524623462551,0.6982247786653368,0.7363670532302212,0.18537204441597027,0.3309681231979758,0.32472303276356135,5.551115123125783e-17,-0.44107720713101245,-0.0028089424452714985,-0.2512163072405328,0.2512163072405328
526,fixture_drift,4,bend,extreme,1.1016366432548634,1.0675746351890456,0.28994339849337836,0.9252040642905425,1.027384578553252,0.17519965570741608,0.47515382835057646,0.5010707167516958,1.1102230246251565e-16,-0.14336126856087802,1.5902773407317584e-18,-0.2512163072405328,0.2512163072405328
