sequence_length,assembly_index,component_index,lsq_quality,hybrid_quality,hybrid_minus_lsq
5,29,3,0.224411719859048,0.2020272779330877,-0.022384441925960313
5,29,4,0.3495426151075293,0.2971806254603978,-0.05236198964713151
5,29,5,0.21794486143292438,0.1622117754420678,-0.05573308599085658
5,30,1,0.09137454663188445,0.08870245296436588,-0.0026720936675185686
5,30,2,0.2929499189218832,0.26414101232467657,-0.02880890659720664
5,30,3,0.5273766649158402,0.4425750776911446,-0.08480158722469561
5,30,4,0.31519223389446493,0.23777775858294373,-0.07741447531152121
5,30,5,0.2162190114261252,0.18922706122090013,-0.026991950205225074
5,31,1,0.17880830201309889,0.16695012721235186,-0.011858174800747023
5,31,2,0.42448594551345664,0.3633584682890396,-0.061127477224417026
5,31,3,0.487211145685899,0.3766913609686021,-0.1105197847172969
5,31,4,0.6132918752829633,0.5426345751093622,-0.07065730017360106
5,31,5,0.6754306531838217,0.559041687160624,-0.1163889660231977
5,32,1,0.19837750146431057,0.17274759913184723,-0.025629902332463345
5,32,2,0.10340338857383345,0.0778639439908672,-0.025539444582966253
5,32,3,0.1762079848462422,0.15481297771644434,-0.02139500712979786
5,32,4,0.21686690866993255,0.12953218141752137,-0.08733472725241118
5,32,5,0.26571731216255134,0.2646196980577405,-0.0010976141048108512
5,33,1,0.22790524535733248,0.1502097983870108,-0.07769544697032169
5,33,2,0.218227308194471,0.16085112694354978,-0.05737618125092123
5,33,3,0.18341266853408655,0.16781734657750488,-0.01559532195658167
5,33,4,0.09818804502049196,0.10334795150177636,0.005159906481284407
5,33,5,0.25600667276032296,0.19317432021353337,-0.0628323525467896
5,34,1,0.18971797641613003,0.12635109368849948,-0.06336688272763055
5,34,2,0.3660363209123265,0.28769248538958164,-0.07834383552274488
5,34,3,0.264402999001489,0.20196554940706704,-0.06243744959442196
5,34,4,0.33491886448353597,0.279554072771731,-0.05536479171180497
5,34,5,0.34460364788453457,0.31902049813310146,-0.02558314975143311
5,35,1,0.23368297830183452,0.18681230694517098,-0.046870671356663535
5,35,2,0.2185936053904567,0.18321789328607072,-0.035375712104385976
