assembly_index,component_index,nonlinearity_strength,zero_quality,lsq_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,solver_success,sequence_length
25,5,0.0,2.3488093800901306,0.29521951337934965,-0.3111498173895258,0.017421003529721882,-0.053183390734142515,True,5
26,1,0.0,0.68740160668598,0.15692433152712132,0.2848976213384481,-0.04877803460703311,0.22947784206725116,True,5
26,2,0.0,0.5333275706520637,0.19791310270564508,-0.45053710809372766,0.010285002355157334,-0.05898614209446802,True,5
26,3,0.0,1.6271096535419929,0.06821074105920831,-0.5262691621012663,-0.09668356449908064,-0.0004914334620562375,True,5
26,4,0.0,1.786231589016106,0.18485826674514835,0.2162473088123565,-0.01693321615003489,-0.016825703197968656,True,5
26,5,0.0,1.8297675947525618,0.33341632470286997,-0.1319850708642707,0.012021163720105033,0.002864532256151104,True,5
27,1,0.0,0.7431678383095466,0.1719169119368684,-0.28137585864438164,0.06550902638480048,0.008409793596805376,True,5
27,2,0.0,0.5506586561682117,0.1252624580775532,-0.11456386052171677,-0.03377534967127897,-0.2219317600605269,True,5
27,3,0.0,0.9199855050041588,0.1094305585845177,-0.5545190690526647,-0.009216617401114267,0.025143546907178696,True,5
27,4,0.0,0.820860652744228,0.12455725277780025,0.20096156741392326,-0.05055361052313249,-0.08832337341846817,True,5
27,5,0.0,1.0848418893910023,0.15916362166499365,-0.24138029711985654,-0.016431338390964348,0.009523980336675121,True,5
28,1,0.0,0.2647870686340904,0.1484346422710249,-0.11484016267252331,0.020243888857431783,0.16587701738014293,True,5
28,2,0.0,1.0059781526445546,0.1282792162550957,-0.6078359985510213,0.04495377829765848,-0.19056064929144517,True,5
28,3,0.0,1.667093715095094,0.30708965128068605,-0.3834991733814295,0.05245528001275327,0.3008737387844988,True,5
28,4,0.0,1.6418282833792666,0.3222729010904742,0.34304995598478605,0.022832524684173586,0.36271726925792336,True,5
