assembly_index,nonlinearity_strength,zero_final_quality,lsq_final_quality,lsq_improvement_percent,lsq_beats_zero,sequence_length
115,0.0,2.074777784872571,0.1533691087568271,92.60792602103908,True,5
116,0.0,0.5990274662876549,0.28122868949605945,53.05245496689587,True,5
117,0.0,3.198424835605007,0.6328729954964291,80.21297894978619,True,5
118,0.0,0.6767106231478409,0.19563418080472766,71.0904226839679,True,5
119,0.0,2.270697103396868,0.20580173297780555,90.93662766954101,True,5
120,0.0,0.9256812625108929,0.22745616976510846,75.42824091003659,True,5
121,0.0,0.46123011745702147,0.46678486094903276,-1.2043323455626025,False,5
122,0.0,1.4279220443011011,0.13017952339381725,90.88328918841408,True,5
123,0.0,0.4818139566956272,0.40048578728635503,16.879579405925973,True,5
124,0.0,1.2213648265257968,0.27361546592200703,77.5975646277359,True,5
125,0.0,2.051573804589561,0.39850636046539334,80.57557765780116,True,5
126,0.0,2.8470049438381357,0.1761111626306695,93.81416028054913,True,5
127,0.0,1.0434407689403422,0.19295486859557687,81.50782734016319,True,5
128,0.0,1.8541076560494414,0.5438993281228259,70.66517004294585,True,5
129,0.0,1.5675778265825075,0.4878724589239043,68.877305442147,True,5
130,0.0,1.0324264088987885,0.1827853660956007,82.29555496448758,True,5
131,0.0,3.531159987477199,0.5363631753394598,84.810567143896,True,5
132,0.0,0.7029265793497251,0.4602935612247773,34.51754781408419,True,5
133,0.0,1.4319844946861195,0.458586597492948,67.97544951117179,True,5
134,0.0,1.235158814430201,0.4216506901522009,65.86263359609224,True,5
135,0.0,1.058843216136451,0.1545934650194472,85.39977754369208,True,5
136,0.0,1.40016829136479,0.5606788179420504,59.9563265787473,True,5
137,0.0,1.6929028465974199,0.3066230815478834,81.88773312277382,True,5
138,0.0,1.0747891383442025,0.31742341406539004,70.46644753459215,True,5
139,0.0,2.4903635258849754,0.2055667144586112,91.74551376447899,True,5
140,0.0,1.8151717742996192,0.2134624695383102,88.24009536944929,True,5
141,0.0,1.8197765660646266,0.14171915953968198,92.21227692550421,True,5
142,0.0,0.9798588391392057,0.15943425777942127,83.72885446239557,True,5
143,0.0,0.44038849262565893,0.32065711406108593,27.18767192365029,True,5
144,0.0,1.2200437319581283,0.25717288104408587,78.92101124675817,True,5
