method,z_adj,theta_adj,locator_offset,predicted_quality_score,improvement_percent_vs_fixed,test_case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise
fixed_setting,0.0,0.0,0.0,7.374080426728762,0.0,19,-0.30251544429195487,-0.6969224939613863,1.1198188463641547,0.1433014059902412,0.004544199241849079
random_search,0.2851607617063916,0.6813557018553924,0.3286270806547751,1.4945843882221168,79.73192178912626,19,-0.30251544429195487,-0.6969224939613863,1.1198188463641547,0.1433014059902412,0.004544199241849079
bayesian_optimization,-1.1374940102665263,0.7438295249534641,0.9642940824115829,1.5852243335579714,78.50275231862099,19,-0.30251544429195487,-0.6969224939613863,1.1198188463641547,0.1433014059902412,0.004544199241849079
fixed_setting,0.0,0.0,0.0,2.5250637653976717,0.0,20,0.23699870853466187,-0.142387493295961,1.0757922646780624,0.12866510042319554,0.05405305490877111
random_search,-1.3638063910761156,0.1310034888380036,-0.8723654877916494,1.7512422237292404,30.645623776814297,20,0.23699870853466187,-0.142387493295961,1.0757922646780624,0.12866510042319554,0.05405305490877111
bayesian_optimization,-0.26281875281584677,0.11360608684751838,-1.0,1.654900982754504,34.461022116252416,20,0.23699870853466187,-0.142387493295961,1.0757922646780624,0.12866510042319554,0.05405305490877111
fixed_setting,0.0,0.0,0.0,9.02161811006578,0.0,21,0.5620397473303216,0.8621586992235202,-0.7145969337287007,0.5504787308654776,0.022357897853304387
random_search,-0.1906138487430633,-0.8129477303193557,0.0020895502067270755,1.9780232050740212,78.0746293963933,21,0.5620397473303216,0.8621586992235202,-0.7145969337287007,0.5504787308654776,0.022357897853304387
bayesian_optimization,1.5351508254717272,-0.7963550504308403,-0.9885131671974332,1.9270240520459212,78.63992879618942,21,0.5620397473303216,0.8621586992235202,-0.7145969337287007,0.5504787308654776,0.022357897853304387
fixed_setting,0.0,0.0,0.0,4.619411461629258,0.0,22,0.9606198936843051,-0.4136374339578808,-0.768764686288778,0.18385715027593363,0.05559767477513477
random_search,0.420489844563678,0.359631843731568,-0.8311113577202218,1.9809186517214226,57.1175101379093,22,0.9606198936843051,-0.4136374339578808,-0.768764686288778,0.18385715027593363,0.05559767477513477
bayesian_optimization,-1.4538082716493859,0.37853965258696354,-1.0,1.9636540877721802,57.49124960867628,22,0.9606198936843051,-0.4136374339578808,-0.768764686288778,0.18385715027593363,0.05559767477513477
fixed_setting,0.0,0.0,0.0,3.167042033440534,0.0,23,-0.6857796500754101,0.22528334363630198,0.13414620057490811,0.599714483912727,0.044243142813906025
random_search,1.5238217874840094,-0.27005189032758126,-0.4233437921395118,2.205816817014223,30.350882819893567,23,-0.6857796500754101,0.22528334363630198,0.13414620057490811,0.599714483912727,0.044243142813906025
bayesian_optimization,0.4588392667978547,-0.245524965566689,-0.9884280851906962,2.069163905789549,34.66572644311572,23,-0.6857796500754101,0.22528334363630198,0.13414620057490811,0.599714483912727,0.044243142813906025
fixed_setting,0.0,0.0,0.0,2.5688620979236902,0.0,24,1.8422149135001216,0.0869655172002115,0.5382724452285523,0.5506073987941486,0.022844668912400244
random_search,-1.8503924733226418,-0.058308177057758925,-0.5461813018982318,2.344402807052834,8.737693278758632,24,1.8422149135001216,0.0869655172002115,0.5382724452285523,0.5506073987941486,0.022844668912400244
bayesian_optimization,-1.1902805418554148,-0.11844400482772621,0.17816927088407253,2.1434888906019864,16.558818305798358,24,1.8422149135001216,0.0869655172002115,0.5382724452285523,0.5506073987941486,0.022844668912400244
fixed_setting,0.0,0.0,0.0,2.1252688655463463,0.0,25,-1.4199021937946537,-0.07591235590044021,0.06580060024312884,0.2176358025289508,0.027018142041608465
