assembly_id,component_index,zero_quality,deterministic_quality,structured_quality,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success,structured_advantage,winner,utilization_quartile,component_initial_quality_quartile
100019,2,0.2789133826025034,0.035072824698661,0.0737481003889149,-0.01212540777477,-5.963540027744094e-16,-0.0216996720140114,0.0216996720140114,True,-0.0386752756902539,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100019,3,0.5556068057854002,0.1025485396512134,0.2571813933313974,-0.4444379600055954,-0.0187589031820291,-0.2796321565931743,0.2796321565931743,True,-0.15463285368018398,DETERMINISTIC_LSQ,U4_highest,Q3
100019,4,0.5508048990450947,0.1050642590098296,0.1837696359846681,-0.0067092510749725,-3.3793393490549868e-15,0.0225475230402198,0.0225475230402198,True,-0.07870537697483851,DETERMINISTIC_LSQ,U1_lowest,Q3
100019,5,0.5640808402962245,0.1201629702590747,0.1622896372649866,2.3969140589132387e-18,0.0017392868324086,1.2265037076242269e-18,0.0014494056936738,True,-0.0421266670059119,DETERMINISTIC_LSQ,U1_lowest,Q3
100020,1,0.2796909938933438,6.177038414085043e-17,0.0,-9.317255810881989e-18,-0.0288794182034378,1.2793585635328952e-17,0.0240661818361982,True,6.177038414085043e-17,TIE,U1_lowest,Q1_lowest
100020,2,0.3220798873238431,7.648204939973381e-15,0.1076622222302053,0.0816315299905447,-7.951386703658792e-16,0.1188345938216654,0.1188345938216654,True,-0.10766222223019765,DETERMINISTIC_LSQ,U2,Q2
100020,3,0.3397947992245104,2.2131612531282237e-17,0.0673126447639782,-0.2462279867561877,7.888971031823397e-16,-9.508969599528739e-17,0.0984911947024751,True,-0.06731264476397818,DETERMINISTIC_LSQ,U2,Q2
100020,4,0.6182810853442022,0.1777091158354496,0.1562012696129458,-0.3703699211369904,0.0080575467077459,-1.791101988946053e-16,0.1481479684547962,True,0.02150784622250379,STRUCTURED20,U3,Q3
100020,5,0.970797125439222,0.1777091158354496,0.151342341141245,-0.5061010866318026,2.9173006564307685e-18,2.860473442917608e-17,0.202440434652721,True,0.026366774694204592,STRUCTURED20,U3,Q4_highest
100021,1,0.2252364346142053,0.031828346795154,0.0795912558430696,-0.073185612537526,0.0205378827290945,-0.0800576883272769,0.0800576883272769,True,-0.0477629090479156,DETERMINISTIC_LSQ,U2,Q1_lowest
100021,2,0.2255101924891775,0.0320225321084322,0.0488465121000319,-0.0005116773433588,6.212020862233431e-18,0.0005022376289102,0.0005022376289102,True,-0.0168239799915997,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100021,3,0.8724619045876787,0.0934888002926638,0.1538290390403061,-0.4471091155898438,0.0419340790447428,-0.2403927205577526,0.2403927205577526,True,-0.060340238747642286,DETERMINISTIC_LSQ,U4_highest,Q4_highest
100021,4,0.9089958212467928,0.1105444958856463,0.1424085244170673,-0.037752205365157,-7.951386703658792e-16,-0.067561478297999,0.067561478297999,True,-0.03186402853142101,DETERMINISTIC_LSQ,U2,Q4_highest
100021,5,0.984337840958732,0.1368690839159204,0.1298305292830048,-0.1330878923845979,-0.0005910358729952,0.0220316888360099,0.0532351569538391,True,0.007038554632915611,STRUCTURED20,U1_lowest,Q4_highest
100022,1,0.0448009415603555,0.0623548156795,0.0448009415603555,-4.4108769117542195e-18,0.0028272429376108,5.3803532809593165e-18,0.0023560357813423,True,0.017553874119144497,STRUCTURED20,U1_lowest,Q1_lowest
100022,2,0.0740469393764684,0.1030599602517407,0.0740469393764684,-7.546343375424103e-19,0.0018456206038907,-9.41900637346782e-19,0.0015380171699089,True,0.0290130208752723,STRUCTURED20,U1_lowest,Q1_lowest
100022,3,0.1638269315120199,0.1191663650877642,0.1638269315120199,-0.0878319670166864,0.0,-0.1571843942909153,0.1571843942909153,True,-0.04466056642425571,DETERMINISTIC_LSQ,U3,Q1_lowest
100022,4,0.268092453366664,0.1484738658669335,0.268092453366664,-0.1337171473013541,0.0,-0.0463389510790322,0.0534868589205416,True,-0.11961858749973048,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100022,5,0.289603455799798,0.1923194241340463,0.2067098923679152,-3.6408088120874185e-17,0.0021138314234983,6.661067097207818e-17,0.0017615261862486,True,-0.014390468233868914,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100023,1,0.0942048098644081,0.0314553752059065,0.0942048098644081,-0.0692328308314803,0.0,-0.1238993153509154,0.1238993153509154,True,-0.06274943465850161,DETERMINISTIC_LSQ,U2,Q1_lowest
100023,2,0.1277653069661956,0.0630534355704375,0.0826525445200526,-7.091332055617114e-18,0.0022428478780079,-0.0379276018523132,0.0379276018523132,True,-0.019599108949615113,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100023,3,0.2031617793716733,0.0630534355704273,0.0698547215479381,-0.171136883620549,-1.5902773407317584e-15,0.1332818586316232,0.1332818586316232,True,-0.0068012859775108125,DETERMINISTIC_LSQ,U3,Q1_lowest
100023,4,0.216789130280371,0.0657870706503805,0.077236041078202,-0.0118492932514737,1.1927080055488188e-15,-0.0212055365007879,0.0212055365007879,True,-0.011448970427821503,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100023,5,0.4497174103163716,0.0672195124211061,0.0717670005961089,0.533861969062126,-0.0286955295662499,0.0118920995859068,0.2135447876248504,True,-0.004547488175002792,DETERMINISTIC_LSQ,U3,Q2
