assembly_id,zero_final_quality,direct_final_quality,deterministic_final_quality,structured_final_quality,structured_regret_vs_direct,deterministic_regret_vs_direct,structured_closer_to_direct
100189,0.9458160436006744,0.2437822266714238,0.3232287521176803,0.2696442082623737,0.02586198159094988,0.07944652544625652,True
100190,0.8961408638323398,0.2629117019713575,0.3423590886608806,0.3670346997995375,0.10412299782818002,0.07944738668952311,False
100191,0.5258927859035084,0.2027757112652391,0.2634490532977167,0.2325100960013298,0.02973438473609069,0.06067334203247757,True
100192,0.8428227425773827,0.1632971377912085,0.1835788970340857,0.2111781356316434,0.0478809978404349,0.0202817592428772,False
100193,0.6390576294382613,0.116167000025324,0.1332075908778535,0.1601189441976873,0.0439519441723633,0.0170405908525295,False
100194,1.4633855172697898,0.2118769579612926,0.2693176317045367,0.2776394232812272,0.0657624653199346,0.0574406737432441,False
100195,1.018698237419527,0.2023158515908844,0.2535761322092428,0.3054567996353313,0.1031409480444469,0.05126028061835841,False
100196,1.2070772719611564,0.1749167808896219,0.2106571097633287,0.2560084379022322,0.08109165701261031,0.03574032887370679,False
100197,0.4846989565917614,0.1432115263774742,0.179908381436103,0.2084974063506465,0.06528587997317231,0.0366968550586288,False
100198,1.6535482673656277,0.2017817417935947,0.2520902903965432,0.2834356972667619,0.08165395547316717,0.05030854860294848,False
100199,1.0696225643287942,0.110233514409186,0.1209481303744008,0.1680358059556969,0.0578022915465109,0.010714615965214808,False
100200,1.342019986270916,0.2590548760719839,0.3455198879412073,0.3242792027275042,0.0652243266555203,0.0864650118692234,True
100201,1.03455028852426,0.215459072916842,0.2829296314917034,0.3430232809407407,0.1275642080238987,0.06747055857486142,False
100202,0.2080404935532427,0.0674256293929482,0.0782122553406603,0.1027179594463666,0.03529233005341839,0.010786625947712097,False
100203,0.7907767393232834,0.1461269074397501,0.189424996114473,0.2641053505239326,0.11797844308418248,0.0432980886747229,False
100204,0.386043311251522,0.133772591367479,0.1794501749275925,0.1410395377049207,0.00726694633744171,0.045677583560113505,True
100205,0.2975441524595488,0.1591693313477053,0.218954250314326,0.1832688018654404,0.02409947051773509,0.05978491896662069,True
100206,0.721789811822255,0.2369104870265558,0.2979055150986109,0.2853240067221972,0.04841351969564142,0.06099502807205512,True
100207,0.2348127187490474,0.1380304789602439,0.186358699980838,0.1669335006134996,0.0289030216532557,0.048328221020594114,True
100208,0.8370410995541308,0.3495520202077653,0.4778809350068932,0.4234127409802771,0.07386072077251177,0.1283289147991279,True
100209,1.0971699798163717,0.1064879251496855,0.1302836063436525,0.1219787371074496,0.015490811957764097,0.023795681193966994,True
100210,0.3910837152426579,0.1111191822861765,0.1391933118972826,0.1969133341145025,0.08579415182832599,0.0280741296111061,False
