assembly_index,component_index,method,pre_quality,post_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,applied_delta_z_mm,applied_delta_theta_deg,applied_delta_locator_mm,utilization,reference_success,reference_evaluations
4,7,LSQ,0.4950191550057484,0.19527982383446024,-0.10003786572538874,-0.032407086569512356,0.3899903266857955,0.0,0.0,0.0,0.3899903266857955,,0
4,7,LSQ_PLUS_ML_THETA,0.4961141377642299,0.1872639154370598,-0.09998472577657601,-0.03159383887100043,0.3900329881049108,0.0,0.0009389971462108876,0.0,0.3900329881049108,,0
4,7,LSQ_PLUS_ML_Z_THETA,0.469939396587216,0.18432024362729169,-0.02785723392915429,-0.03022508044110195,0.3894785179651376,-0.006814675468777856,0.000990323014352125,0.0,0.3894785179651376,,0
4,7,LSQ_PLUS_ML_ALL,0.4697360756834743,0.18345925292535642,-0.02774131963784584,-0.030218823123021137,0.34477626300798564,-0.007604810941269274,0.0009918992262557824,-0.04442197749691568,0.34477626300798564,,0
4,7,DIRECT_NONLINEAR_REFERENCE,0.517612642849703,0.16521282498429962,-0.09850524403944658,-0.035956335266774844,0.35832817572151593,-0.07731615758459003,0.0018687787248074517,0.06862639669362564,0.35832817572151593,False,807
4,8,ZERO,1.2061214167282135,1.2061214167282135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,8,LSQ,1.1142201840946528,0.33045115663043956,-0.14855292783444554,-0.10452550897264845,-0.26294083203295276,0.0,0.0,0.0,0.26294083203295276,,0
4,8,LSQ_PLUS_ML_THETA,1.123598345820502,0.2902520208175979,-0.14855090966869722,-0.10004234467051425,-0.2629702742563101,0.0,0.005490011448444146,0.0,0.2629702742563101,,0
4,8,LSQ_PLUS_ML_Z_THETA,1.1265413444084371,0.2830046099842957,-0.12507812766021462,-0.10034179647291554,-0.26053114983866216,0.023058006006720977,0.005539021475970504,0.0,0.26053114983866216,,0
4,8,LSQ_PLUS_ML_ALL,1.1235385106090197,0.27979542661840134,-0.12163904806085338,-0.09998294110414434,-0.22362411390330797,0.025718132432436563,0.0059019964059510155,-0.011124346735380486,0.22362411390330797,,0
4,8,DIRECT_NONLINEAR_REFERENCE,1.1042570481215477,0.1969732429837781,-0.04797501631236691,-0.08948959456084168,-0.25049025850909395,0.023604793006131213,0.016676212389053674,0.07757798450280834,0.25049025850909395,False,875
4,9,ZERO,1.4016035430718157,1.4016035430718157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
4,9,LSQ,0.5028950736205664,0.23357837123159286,0.36509855310065875,0.013257591183577444,-0.11636055957984331,0.0,0.0,0.0,0.1460394212402635,,0
4,9,LSQ_PLUS_ML_THETA,0.4632694528499357,0.2193249689716807,0.36514289861852817,0.010675884157375904,-0.11627833590727076,0.0,0.0033817630214006663,0.0,0.14605715944741127,,0
