assembly_index,lsq_quality,theta_quality,z_theta_quality,all_quality,theta_minus_lsq,z_theta_minus_lsq,all_minus_lsq,all_minus_z_theta
39,0.2242527430641131,0.1968718745706474,0.1903352387844647,0.1867530819246169,-0.027380868493465715,-0.0339175042796484,-0.03749966113949621,-0.003582156859847807
40,0.1335951933187704,0.1278201987584275,0.1298518009555743,0.130598423024852,-0.005774994560342889,-0.0037433923631960964,-0.0029967702939183993,0.000746622069277697
41,0.6365324534991534,0.5313039568821071,0.5182822726454306,0.5161202569022707,-0.10522849661704636,-0.11825018085372285,-0.12041219659688274,-0.002162015743159884
42,0.5239917163837076,0.4333130136155411,0.4293588760330817,0.423148969496175,-0.09067870276816647,-0.09463284035062586,-0.10084274688753259,-0.0062099065369067286
43,0.7123820922888552,0.5672255648724164,0.564291867967806,0.5627000584668226,-0.1451565274164388,-0.14809022432104924,-0.1496820338220326,-0.0015918095009833655
44,0.2079564804361731,0.1569972568482693,0.1544333053717565,0.1564967964858217,-0.05095922358790381,-0.05352317506441659,-0.05145968395035139,0.0020634911140652024
45,0.7568671918584544,0.62038802183737,0.6248502659892089,0.6246454833106097,-0.13647917002108445,-0.13201692586924552,-0.13222170854784476,-0.00020478267859924681
46,0.3757651871237005,0.3524281236296275,0.3454070914029929,0.3406004949346604,-0.023337063494072996,-0.03035809572070758,-0.035164692189040114,-0.004806596468332536
47,0.5913121925931956,0.4778162044046425,0.4787052959282837,0.4788264814062865,-0.11349598818855305,-0.11260689666491186,-0.11248571118690909,0.00012118547800277213
48,0.3758902956160261,0.389002447298874,0.3984198920215056,0.3939420986011339,0.013112151682847906,0.02252959640547947,0.01805180298510778,-0.00447779342037169
49,0.2469994220142372,0.2460897977123966,0.2303711784511433,0.2259372522234195,-0.0009096243018405781,-0.016628243563093892,-0.02106216979081768,-0.004433926227723789
50,0.5424195177330429,0.4750295906258946,0.4643736382923277,0.4620136408890493,-0.06738992710714825,-0.07804587944071517,-0.08040587684399358,-0.0023599974032784132
51,0.1194221411614486,0.1212119424154054,0.1134619818736261,0.1104458137728141,0.0017898012539567937,-0.005960159287822495,-0.008976327388634506,-0.003016168100812011
52,0.3599028547162399,0.2832295957498529,0.2690961099046147,0.2678451724011165,-0.07667325896638699,-0.0908067448116252,-0.0920576823151234,-0.001250937503498195
53,0.1711884079661113,0.1416844035398661,0.1346340547006366,0.1349721672620537,-0.02950400442624518,-0.03655435326547468,-0.0362162407040576,0.000338112561417081
54,0.9974003132392568,0.8582290785399908,0.8652981160800721,0.8695195541264001,-0.13917123469926607,-0.1321021971591847,-0.12788075911285668,0.004221438046328019
55,0.1583456467602761,0.1502148254837831,0.1329388018623657,0.1309333919960932,-0.008130821276493005,-0.025406844897910397,-0.02741225476418291,-0.0020054098662725117
56,1.0984121968007214,0.955724730128468,0.9597167356383188,0.960259811476572,-0.1426874666722534,-0.1386954611624026,-0.13815238532414942,0.0005430758382531931
57,0.962872272329253,0.7668849453737728,0.7690810371846224,0.769868374975861,-0.19598732695548016,-0.1937912351446306,-0.19300389735339196,0.0007873377912386292
58,0.2400739240119754,0.2253138290847507,0.2236279860396558,0.2229904923194465,-0.014760094927224687,-0.01644593797231958,-0.017083431692528878,-0.0006374937202092978
59,0.2721229672162827,0.2226054904146277,0.235591322873742,0.2375207261478599,-0.049517476801655,-0.03653164434254072,-0.0346022410684228,0.001929403274117919
60,0.1613677679829726,0.1272717424686988,0.1180873303050055,0.1194797712998103,-0.03409602551427379,-0.04328043767796709,-0.04188799668316229,0.0013924409948048028
